2016-10-17_10:39:45.548  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:39:48.954  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.052  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.052  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.052  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.155  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.155  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.155  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.254  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.254  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.254  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.353  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.353  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.353  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.451  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.451  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.451  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.555  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.555  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.556  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.648  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.648  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.648  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.853  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.853  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.853  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:49.953  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:49.953  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:49.953  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.055  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.055  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.055  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.156  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.156  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.157  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.354  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.354  [维护] 10:33:35车载"接收器1故障"
2016-10-17_10:39:50.354  [维护] 10:33:37车载"信标读取器1故障"
2016-10-17_10:39:50.453  [维护] 10:33:36车载"接收器2故障"
2016-10-17_10:39:50.453  [维护] 10:33:35车载"接收器1故障"
