2016-10-17_10:46:44.418  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:46:44.419  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:44.517  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:44.517  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:44.517  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:44.621  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:44.621  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:44.621  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:44.728  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:44.728  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:44.728  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:44.834  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:44.834  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:44.834  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:44.939  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:44.939  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:44.939  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.042  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.043  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.043  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.148  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.149  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.149  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.249  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.249  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.249  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.347  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.517  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.517  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.518  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.610  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.610  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.610  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:45.754  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:45.754  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:45.754  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.041  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.041  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.041  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.260  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.260  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.260  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.419  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.420  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.420  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.682  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.682  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.682  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.777  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.777  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.777  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.894  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.895  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.895  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:46.975  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:46.975  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:46.976  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.065  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.065  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.065  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.158  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.159  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.159  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.256  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.256  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.256  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.350  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.350  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.350  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.546  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.546  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.546  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.646  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.646  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.646  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.746  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.747  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.747  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:47.847  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:47.847  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:47.847  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.047  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.047  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.047  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.146  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.146  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.146  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.246  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.246  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.247  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.347  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.449  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.449  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.449  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.549  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.549  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.550  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.648  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.648  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.648  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.751  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.751  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.751  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.847  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.847  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.848  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:48.949  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:48.949  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:48.949  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.146  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.147  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.147  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.347  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.546  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.547  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.547  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.646  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.646  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.646  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.755  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.755  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.755  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:46:49.846  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:46:49.846  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:46:49.846  [维护 ] 10:33:37 车载 "信标读取器1故障"
