2016-10-17_11:02:42.947  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_11:02:42.948  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.048  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.048  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.048  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.146  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.146  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.146  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.248  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.248  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.248  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.346  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.448  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.448  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.448  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.546  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.547  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.547  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.648  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.648  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.648  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.748  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.748  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.748  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:43.851  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:43.851  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:43.851  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.047  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.048  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.048  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.147  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.147  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.147  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.247  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.247  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.247  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.347  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.448  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.448  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.448  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.548  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_11:02:44.548  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_11:02:44.548  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_11:02:44.647  [维护 ] 10:33:36 车载 "接收器2故障"
