2016-10-17_10:58:23.784  [软件] 自动校时失败，请使用管理员权限运行本程序，谢谢！。
2016-10-17_10:58:23.785  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:23.877  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:23.877  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:23.877  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:23.974  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:23.974  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:23.974  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.066  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.066  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.066  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.166  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.166  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.166  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.258  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.258  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.258  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.355  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.355  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.356  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.548  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.548  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.548  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.663  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.663  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.663  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.754  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.754  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.754  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:24.947  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:24.947  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:24.947  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.048  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.048  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.049  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.147  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.147  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.147  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.249  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.249  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.249  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.347  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.347  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.347  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.455  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.455  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.455  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.548  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.548  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.548  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.748  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.748  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.748  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.848  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.848  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.848  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:25.950  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:25.950  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:25.950  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.049  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.049  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.049  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.149  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.149  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.149  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.248  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.248  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.248  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.346  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.346  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.346  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.448  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.448  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.448  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.548  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.548  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.548  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.646  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.646  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.646  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.681  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.681  [维护 ] 10:33:35 车载 "接收器1故障"
2016-10-17_10:58:26.681  [维护 ] 10:33:37 车载 "信标读取器1故障"
2016-10-17_10:58:26.681  [维护 ] 10:33:36 车载 "接收器2故障"
2016-10-17_10:58:26.681  [维护 ] 10:33:35 车载 "接收器1故障"
