2016-10-13_18:48:07.726 [软件] DMI自检完毕，准备启动。
2016-10-13_18:48:07.726 [车载] 车辆紧急制动。
2016-10-13_18:48:07.830 [车载] 车辆常用制动。
2016-10-13_18:48:07.830 [车载] 车辆紧急制动。
2016-10-13_18:48:07.932 [车载] 车辆常用制动。
2016-10-13_18:48:07.932 [车载] 车辆紧急制动。
2016-10-13_18:48:08.035 [车载] 车辆常用制动。
2016-10-13_18:48:08.035 [车载] 车辆紧急制动。
2016-10-13_18:48:08.132 [车载] 车辆常用制动。
2016-10-13_18:48:08.132 [车载] 车辆紧急制动。
2016-10-13_18:48:08.240 [车载] 车辆常用制动。
2016-10-13_18:48:08.240 [车载] 车辆紧急制动。
2016-10-13_18:48:08.432 [车载] 车辆常用制动。
2016-10-13_18:48:08.432 [车载] 车辆紧急制动。
2016-10-13_18:48:08.541 [车载] 车辆常用制动。
2016-10-13_18:48:08.541 [车载] 车辆紧急制动。
2016-10-13_18:48:08.733 [车载] 车辆常用制动。
2016-10-13_18:48:08.733 [车载] 车辆紧急制动。
2016-10-13_18:48:08.933 [车载] 车辆常用制动。
2016-10-13_18:48:08.933 [车载] 车辆紧急制动。
2016-10-13_18:48:09.038 [车载] 车辆常用制动。
2016-10-13_18:48:09.038 [车载] 车辆紧急制动。
2016-10-13_18:48:09.134 [车载] 车辆常用制动。
2016-10-13_18:48:09.134 [车载] 车辆紧急制动。
2016-10-13_18:48:09.236 [车载] 车辆常用制动。
2016-10-13_18:48:09.236 [车载] 车辆紧急制动。
2016-10-13_18:48:09.332 [车载] 车辆常用制动。
2016-10-13_18:48:09.332 [车载] 车辆紧急制动。
2016-10-13_18:48:09.433 [车载] 车辆常用制动。
2016-10-13_18:48:09.433 [车载] 车辆紧急制动。
2016-10-13_18:48:09.532 [车载] 车辆常用制动。
2016-10-13_18:48:09.532 [车载] 车辆紧急制动。
2016-10-13_18:48:09.651 [车载] 车辆常用制动。
2016-10-13_18:48:09.651 [车载] 车辆紧急制动。
2016-10-13_18:48:09.752 [车载] 车辆常用制动。
2016-10-13_18:48:09.752 [车载] 车辆紧急制动。
2016-10-13_18:48:09.936 [车载] 车辆常用制动。
2016-10-13_18:48:09.936 [车载] 车辆紧急制动。
2016-10-13_18:48:10.033 [车载] 车辆常用制动。
2016-10-13_18:48:10.033 [车载] 车辆紧急制动。
2016-10-13_18:48:10.132 [车载] 车辆常用制动。
2016-10-13_18:48:10.132 [车载] 车辆紧急制动。
2016-10-13_18:48:10.233 [车载] 车辆常用制动。
2016-10-13_18:48:10.233 [车载] 车辆紧急制动。
2016-10-13_18:48:10.332 [车载] 车辆常用制动。
2016-10-13_18:48:10.333 [车载] 车辆紧急制动。
2016-10-13_18:48:10.434 [车载] 车辆常用制动。
2016-10-13_18:48:10.434 [车载] 车辆紧急制动。
2016-10-13_18:48:10.532 [车载] 车辆常用制动。
2016-10-13_18:48:10.532 [车载] 车辆紧急制动。
2016-10-13_18:48:10.632 [车载] 车辆常用制动。
2016-10-13_18:48:10.632 [车载] 车辆紧急制动。
2016-10-13_18:48:10.733 [车载] 车辆常用制动。
2016-10-13_18:48:10.733 [车载] 车辆紧急制动。
2016-10-13_18:48:10.845 [车载] 车辆常用制动。
2016-10-13_18:48:10.845 [车载] 车辆紧急制动。
2016-10-13_18:48:11.040 [车载] 车辆常用制动。
2016-10-13_18:48:11.040 [车载] 车辆紧急制动。
2016-10-13_18:48:11.132 [车载] 车辆常用制动。
2016-10-13_18:48:11.133 [车载] 车辆紧急制动。
2016-10-13_18:48:11.232 [车载] 车辆常用制动。
2016-10-13_18:48:11.232 [车载] 车辆紧急制动。
2016-10-13_18:48:11.431 [车载] 车辆常用制动。
2016-10-13_18:48:11.431 [车载] 车辆紧急制动。
2016-10-13_18:48:11.532 [车载] 车辆常用制动。
2016-10-13_18:48:11.532 [车载] 车辆紧急制动。
2016-10-13_18:48:11.634 [车载] 车辆常用制动。
2016-10-13_18:48:11.634 [车载] 车辆紧急制动。
2016-10-13_18:48:11.849 [车载] 车辆常用制动。
2016-10-13_18:48:11.849 [车载] 车辆紧急制动。
2016-10-13_18:48:12.031 [车载] 车辆常用制动。
2016-10-13_18:48:12.031 [车载] 车辆紧急制动。
2016-10-13_18:48:12.133 [车载] 车辆常用制动。
2016-10-13_18:48:12.133 [车载] 车辆紧急制动。
2016-10-13_18:48:12.232 [车载] 车辆常用制动。
2016-10-13_18:48:12.232 [车载] 车辆紧急制动。
2016-10-13_18:48:12.332 [车载] 车辆常用制动。
2016-10-13_18:48:12.337 [车载] 车辆紧急制动。
2016-10-13_18:48:12.536 [车载] 车辆常用制动。
2016-10-13_18:48:12.536 [车载] 车辆紧急制动。
2016-10-13_18:48:12.732 [车载] 车辆常用制动。
2016-10-13_18:48:12.732 [车载] 车辆紧急制动。
2016-10-13_18:48:12.839 [车载] 车辆常用制动。
2016-10-13_18:48:12.840 [车载] 车辆紧急制动。
2016-10-13_18:48:12.933 [车载] 车辆常用制动。
2016-10-13_18:48:12.933 [车载] 车辆紧急制动。
2016-10-13_18:48:13.034 [车载] 车辆常用制动。
2016-10-13_18:48:13.034 [车载] 车辆紧急制动。
2016-10-13_18:48:13.133 [车载] 车辆常用制动。
2016-10-13_18:48:13.133 [车载] 车辆紧急制动。
2016-10-13_18:48:13.237 [车载] 车辆常用制动。
2016-10-13_18:48:13.237 [车载] 车辆紧急制动。
2016-10-13_18:48:13.366 [车载] 车辆常用制动。
2016-10-13_18:48:13.366 [车载] 车辆紧急制动。
2016-10-13_18:48:13.540 [车载] 车辆常用制动。
2016-10-13_18:48:13.540 [车载] 车辆紧急制动。
2016-10-13_18:48:13.634 [车载] 车辆常用制动。
2016-10-13_18:48:13.634 [车载] 车辆紧急制动。
2016-10-13_18:48:13.733 [车载] 车辆常用制动。
2016-10-13_18:48:13.733 [车载] 车辆紧急制动。
2016-10-13_18:48:13.833 [车载] 车辆常用制动。
2016-10-13_18:48:13.833 [车载] 车辆紧急制动。
2016-10-13_18:48:13.936 [车载] 车辆常用制动。
2016-10-13_18:48:13.936 [车载] 车辆紧急制动。
2016-10-13_18:48:14.035 [车载] 车辆常用制动。
2016-10-13_18:48:14.035 [车载] 车辆紧急制动。
2016-10-13_18:48:14.132 [车载] 车辆常用制动。
2016-10-13_18:48:14.132 [车载] 车辆紧急制动。
2016-10-13_18:48:14.238 [车载] 车辆常用制动。
2016-10-13_18:48:14.238 [车载] 车辆紧急制动。
2016-10-13_18:48:14.338 [车载] 车辆常用制动。
2016-10-13_18:48:14.338 [车载] 车辆紧急制动。
2016-10-13_18:48:14.536 [车载] 车辆常用制动。
2016-10-13_18:48:14.536 [车载] 车辆紧急制动。
2016-10-13_18:48:14.738 [车载] 车辆常用制动。
2016-10-13_18:48:14.738 [车载] 车辆紧急制动。
2016-10-13_18:48:14.844 [车载] 车辆常用制动。
2016-10-13_18:48:14.844 [车载] 车辆紧急制动。
2016-10-13_18:48:14.932 [车载] 车辆常用制动。
2016-10-13_18:48:14.932 [车载] 车辆紧急制动。
2016-10-13_18:48:15.032 [车载] 车辆常用制动。
2016-10-13_18:48:15.032 [车载] 车辆紧急制动。
2016-10-13_18:48:15.134 [车载] 车辆常用制动。
2016-10-13_18:48:15.134 [车载] 车辆紧急制动。
2016-10-13_18:48:15.236 [车载] 车辆常用制动。
2016-10-13_18:48:15.236 [车载] 车辆紧急制动。
2016-10-13_18:48:15.337 [车载] 车辆常用制动。
