2016-10-13_17:22:27.747 [软件] DMI自检完毕，准备启动。
2016-10-13_17:22:27.747 [车载] 当前超速。
2016-10-13_17:22:27.832 [车载] 前方限速10公里每小时。
2016-10-13_17:22:27.840 [车载] 车辆常用制动。
2016-10-13_17:22:27.840 [车载] 当前超速。
2016-10-13_17:22:27.936 [车载] 前方限速10公里每小时。
2016-10-13_17:22:27.936 [车载] 车辆常用制动。
2016-10-13_17:22:27.936 [车载] 当前超速。
2016-10-13_17:22:28.033 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.033 [车载] 车辆常用制动。
2016-10-13_17:22:28.034 [车载] 当前超速。
2016-10-13_17:22:28.133 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.133 [车载] 车辆常用制动。
2016-10-13_17:22:28.133 [车载] 当前超速。
2016-10-13_17:22:28.239 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.239 [车载] 车辆常用制动。
2016-10-13_17:22:28.239 [车载] 当前超速。
2016-10-13_17:22:28.332 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.332 [车载] 车辆常用制动。
2016-10-13_17:22:28.332 [车载] 当前超速。
2016-10-13_17:22:28.440 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.440 [车载] 车辆常用制动。
2016-10-13_17:22:28.440 [车载] 当前超速。
2016-10-13_17:22:28.532 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.532 [车载] 车辆常用制动。
2016-10-13_17:22:28.532 [车载] 当前超速。
2016-10-13_17:22:28.635 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.635 [车载] 车辆常用制动。
2016-10-13_17:22:28.635 [车载] 当前超速。
2016-10-13_17:22:28.879 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.880 [车载] 车辆常用制动。
2016-10-13_17:22:28.880 [车载] 当前超速。
2016-10-13_17:22:28.971 [车载] 前方限速10公里每小时。
2016-10-13_17:22:28.971 [车载] 车辆常用制动。
2016-10-13_17:22:28.971 [车载] 当前超速。
2016-10-13_17:22:29.219 [车载] 前方限速10公里每小时。
2016-10-13_17:22:29.219 [车载] 车辆常用制动。
2016-10-13_17:22:29.219 [车载] 当前超速。
2016-10-13_17:22:29.394 [车载] 前方限速10公里每小时。
2016-10-13_17:22:29.394 [车载] 车辆常用制动。
2016-10-13_17:22:29.394 [车载] 当前超速。
2016-10-13_17:22:29.683 [车载] 前方限速10公里每小时。
2016-10-13_17:22:29.683 [车载] 车辆常用制动。
2016-10-13_17:22:29.683 [车载] 当前超速。
2016-10-13_17:22:29.810 [车载] 前方限速10公里每小时。
2016-10-13_17:22:29.810 [车载] 车辆常用制动。
2016-10-13_17:22:29.810 [车载] 当前超速。
2016-10-13_17:22:30.006 [车载] 前方限速10公里每小时。
2016-10-13_17:22:30.006 [车载] 车辆常用制动。
2016-10-13_17:22:30.006 [车载] 当前超速。
2016-10-13_17:22:32.937 [车载] 前方限速10公里每小时。
2016-10-13_17:22:32.937 [车载] 车辆常用制动。
2016-10-13_17:22:32.937 [车载] 当前超速。
2016-10-13_17:22:33.048 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.048 [车载] 车辆常用制动。
2016-10-13_17:22:33.048 [车载] 当前超速。
2016-10-13_17:22:33.241 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.241 [车载] 车辆常用制动。
2016-10-13_17:22:33.241 [车载] 当前超速。
2016-10-13_17:22:33.440 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.440 [车载] 车辆常用制动。
2016-10-13_17:22:33.440 [车载] 当前超速。
2016-10-13_17:22:33.538 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.538 [车载] 车辆常用制动。
2016-10-13_17:22:33.538 [车载] 当前超速。
2016-10-13_17:22:33.632 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.632 [车载] 车辆常用制动。
2016-10-13_17:22:33.632 [车载] 当前超速。
2016-10-13_17:22:33.736 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.737 [车载] 车辆常用制动。
2016-10-13_17:22:33.737 [车载] 当前超速。
2016-10-13_17:22:33.833 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.833 [车载] 车辆常用制动。
2016-10-13_17:22:33.833 [车载] 当前超速。
2016-10-13_17:22:33.931 [车载] 前方限速10公里每小时。
2016-10-13_17:22:33.952 [车载] 车辆常用制动。
2016-10-13_17:22:33.952 [车载] 当前超速。
2016-10-13_17:22:34.033 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.033 [车载] 车辆常用制动。
2016-10-13_17:22:34.033 [车载] 当前超速。
2016-10-13_17:22:34.132 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.132 [车载] 车辆常用制动。
2016-10-13_17:22:34.132 [车载] 当前超速。
2016-10-13_17:22:34.233 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.233 [车载] 车辆常用制动。
2016-10-13_17:22:34.233 [车载] 当前超速。
2016-10-13_17:22:34.333 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.333 [车载] 车辆常用制动。
2016-10-13_17:22:34.333 [车载] 当前超速。
2016-10-13_17:22:34.432 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.433 [车载] 车辆常用制动。
2016-10-13_17:22:34.433 [车载] 当前超速。
2016-10-13_17:22:34.539 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.539 [车载] 车辆常用制动。
2016-10-13_17:22:34.539 [车载] 当前超速。
2016-10-13_17:22:34.637 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.637 [车载] 车辆常用制动。
2016-10-13_17:22:34.637 [车载] 当前超速。
2016-10-13_17:22:34.732 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.733 [车载] 车辆常用制动。
2016-10-13_17:22:34.733 [车载] 当前超速。
2016-10-13_17:22:34.937 [车载] 前方限速10公里每小时。
2016-10-13_17:22:34.938 [车载] 车辆常用制动。
2016-10-13_17:22:34.938 [车载] 当前超速。
2016-10-13_17:22:35.034 [车载] 前方限速10公里每小时。
2016-10-13_17:22:35.034 [车载] 车辆常用制动。
2016-10-13_17:22:35.034 [车载] 当前超速。
2016-10-13_17:22:35.161 [车载] 前方限速10公里每小时。
2016-10-13_17:22:35.227 [车载] 车辆常用制动。
2016-10-13_17:22:35.227 [车载] 当前超速。
2016-10-13_17:22:35.272 [车载] 前方限速10公里每小时。
2016-10-13_17:22:35.272 [车载] 车辆常用制动。
2016-10-13_17:22:35.273 [车载] 当前超速。
2016-10-13_17:22:37.674 [车载] 前方限速10公里每小时。
2016-10-13_17:22:37.675 [车载] 车辆常用制动。
2016-10-13_17:22:37.675 [车载] 当前超速。
2016-10-13_17:22:37.781 [车载] 前方限速10公里每小时。
2016-10-13_17:22:37.781 [车载] 车辆常用制动。
2016-10-13_17:22:37.781 [车载] 当前超速。
2016-10-13_17:22:37.868 [车载] 前方限速10公里每小时。
2016-10-13_17:22:37.868 [车载] 车辆常用制动。
2016-10-13_17:22:37.868 [车载] 当前超速。
2016-10-13_17:22:37.956 [车载] 前方限速10公里每小时。
2016-10-13_17:22:37.991 [车载] 车辆常用制动。
2016-10-13_17:22:37.991 [车载] 当前超速。
2016-10-13_17:22:38.053 [车载] 前方限速10公里每小时。
