2016-10-13_17:51:26.531 [软件] DMI自检完毕，准备启动。
2016-10-13_17:51:26.531 [车载] 车辆紧急制动。
2016-10-13_17:51:26.632 [车载] 车辆常用制动。
2016-10-13_17:51:26.632 [车载] 车辆紧急制动。
2016-10-13_17:51:26.733 [车载] 车辆常用制动。
2016-10-13_17:51:26.733 [车载] 车辆紧急制动。
2016-10-13_17:51:26.836 [车载] 车辆常用制动。
2016-10-13_17:51:26.836 [车载] 车辆紧急制动。
2016-10-13_17:51:26.937 [车载] 车辆常用制动。
2016-10-13_17:51:26.937 [车载] 车辆紧急制动。
2016-10-13_17:51:27.032 [车载] 车辆常用制动。
2016-10-13_17:51:27.032 [车载] 车辆紧急制动。
2016-10-13_17:51:27.161 [车载] 车辆常用制动。
2016-10-13_17:51:27.161 [车载] 车辆紧急制动。
2016-10-13_17:51:27.233 [车载] 车辆常用制动。
2016-10-13_17:51:27.233 [车载] 车辆紧急制动。
2016-10-13_17:51:27.435 [车载] 车辆常用制动。
2016-10-13_17:51:27.435 [车载] 车辆紧急制动。
2016-10-13_17:51:27.533 [车载] 车辆常用制动。
2016-10-13_17:51:27.533 [车载] 车辆紧急制动。
2016-10-13_17:51:27.631 [车载] 车辆常用制动。
2016-10-13_17:51:27.631 [车载] 车辆紧急制动。
2016-10-13_17:51:27.836 [车载] 车辆常用制动。
2016-10-13_17:51:27.836 [车载] 车辆紧急制动。
2016-10-13_17:51:27.936 [车载] 车辆常用制动。
2016-10-13_17:51:27.936 [车载] 车辆紧急制动。
2016-10-13_17:51:28.050 [车载] 车辆常用制动。
2016-10-13_17:51:28.050 [车载] 车辆紧急制动。
2016-10-13_17:51:28.136 [车载] 车辆常用制动。
2016-10-13_17:51:28.136 [车载] 车辆紧急制动。
2016-10-13_17:51:28.240 [车载] 车辆常用制动。
2016-10-13_17:51:28.240 [车载] 车辆紧急制动。
2016-10-13_17:51:28.431 [车载] 车辆常用制动。
2016-10-13_17:51:28.431 [车载] 车辆紧急制动。
2016-10-13_17:51:28.533 [车载] 车辆常用制动。
2016-10-13_17:51:28.533 [车载] 车辆紧急制动。
2016-10-13_17:51:28.632 [车载] 车辆常用制动。
2016-10-13_17:51:28.632 [车载] 车辆紧急制动。
2016-10-13_17:51:28.732 [车载] 车辆常用制动。
2016-10-13_17:51:28.732 [车载] 车辆紧急制动。
2016-10-13_17:51:28.834 [车载] 车辆常用制动。
2016-10-13_17:51:28.834 [车载] 车辆紧急制动。
2016-10-13_17:51:28.931 [车载] 车辆常用制动。
2016-10-13_17:51:28.931 [车载] 车辆紧急制动。
2016-10-13_17:51:29.132 [车载] 车辆常用制动。
2016-10-13_17:51:29.132 [车载] 车辆紧急制动。
2016-10-13_17:51:29.237 [车载] 车辆常用制动。
2016-10-13_17:51:29.237 [车载] 车辆紧急制动。
2016-10-13_17:51:29.332 [车载] 车辆常用制动。
2016-10-13_17:51:29.332 [车载] 车辆紧急制动。
2016-10-13_17:51:29.436 [车载] 车辆常用制动。
2016-10-13_17:51:29.436 [车载] 车辆紧急制动。
2016-10-13_17:51:29.532 [车载] 车辆常用制动。
2016-10-13_17:51:29.532 [车载] 车辆紧急制动。
2016-10-13_17:51:29.731 [车载] 车辆常用制动。
2016-10-13_17:51:29.731 [车载] 车辆紧急制动。
2016-10-13_17:51:29.833 [车载] 车辆常用制动。
2016-10-13_17:51:29.833 [车载] 车辆紧急制动。
