2016-10-13_17:20:31.930 [软件] DMI自检完毕，准备启动。
2016-10-13_17:20:31.931 [车载] 当前超速。
2016-10-13_17:20:32.043 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.043 [车载] 车辆常用制动。
2016-10-13_17:20:32.043 [车载] 当前超速。
2016-10-13_17:20:32.236 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.236 [车载] 车辆常用制动。
2016-10-13_17:20:32.236 [车载] 当前超速。
2016-10-13_17:20:32.433 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.433 [车载] 车辆常用制动。
2016-10-13_17:20:32.433 [车载] 当前超速。
2016-10-13_17:20:32.538 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.539 [车载] 车辆常用制动。
2016-10-13_17:20:32.539 [车载] 当前超速。
2016-10-13_17:20:32.740 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.740 [车载] 车辆常用制动。
2016-10-13_17:20:32.740 [车载] 当前超速。
2016-10-13_17:20:32.838 [车载] 前方限速10公里每小时。
2016-10-13_17:20:32.838 [车载] 车辆常用制动。
2016-10-13_17:20:32.838 [车载] 当前超速。
2016-10-13_17:20:33.033 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.033 [车载] 车辆常用制动。
2016-10-13_17:20:33.033 [车载] 当前超速。
2016-10-13_17:20:33.135 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.135 [车载] 车辆常用制动。
2016-10-13_17:20:33.135 [车载] 当前超速。
2016-10-13_17:20:33.236 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.236 [车载] 车辆常用制动。
2016-10-13_17:20:33.236 [车载] 当前超速。
2016-10-13_17:20:33.338 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.338 [车载] 车辆常用制动。
2016-10-13_17:20:33.338 [车载] 当前超速。
2016-10-13_17:20:33.532 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.533 [车载] 车辆常用制动。
2016-10-13_17:20:33.533 [车载] 当前超速。
2016-10-13_17:20:33.633 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.633 [车载] 车辆常用制动。
2016-10-13_17:20:33.633 [车载] 当前超速。
2016-10-13_17:20:33.732 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.732 [车载] 车辆常用制动。
2016-10-13_17:20:33.732 [车载] 当前超速。
2016-10-13_17:20:33.932 [车载] 前方限速10公里每小时。
2016-10-13_17:20:33.932 [车载] 车辆常用制动。
2016-10-13_17:20:33.932 [车载] 当前超速。
2016-10-13_17:20:34.039 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.040 [车载] 车辆常用制动。
2016-10-13_17:20:34.040 [车载] 当前超速。
2016-10-13_17:20:34.235 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.235 [车载] 车辆常用制动。
2016-10-13_17:20:34.235 [车载] 当前超速。
2016-10-13_17:20:34.332 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.333 [车载] 车辆常用制动。
2016-10-13_17:20:34.333 [车载] 当前超速。
2016-10-13_17:20:34.434 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.434 [车载] 车辆常用制动。
2016-10-13_17:20:34.439 [车载] 当前超速。
2016-10-13_17:20:34.535 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.535 [车载] 车辆常用制动。
2016-10-13_17:20:34.535 [车载] 当前超速。
2016-10-13_17:20:34.638 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.638 [车载] 车辆常用制动。
2016-10-13_17:20:34.638 [车载] 当前超速。
2016-10-13_17:20:34.733 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.733 [车载] 车辆常用制动。
2016-10-13_17:20:34.733 [车载] 当前超速。
2016-10-13_17:20:34.835 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.835 [车载] 车辆常用制动。
2016-10-13_17:20:34.835 [车载] 当前超速。
2016-10-13_17:20:34.995 [车载] 前方限速10公里每小时。
2016-10-13_17:20:34.995 [车载] 车辆常用制动。
2016-10-13_17:20:34.995 [车载] 当前超速。
2016-10-13_17:20:35.133 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.133 [车载] 车辆常用制动。
2016-10-13_17:20:35.133 [车载] 当前超速。
2016-10-13_17:20:35.233 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.244 [车载] 车辆常用制动。
2016-10-13_17:20:35.244 [车载] 当前超速。
2016-10-13_17:20:35.333 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.333 [车载] 车辆常用制动。
2016-10-13_17:20:35.333 [车载] 当前超速。
2016-10-13_17:20:35.432 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.433 [车载] 车辆常用制动。
2016-10-13_17:20:35.433 [车载] 当前超速。
2016-10-13_17:20:35.535 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.536 [车载] 车辆常用制动。
2016-10-13_17:20:35.536 [车载] 当前超速。
2016-10-13_17:20:35.638 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.638 [车载] 车辆常用制动。
2016-10-13_17:20:35.638 [车载] 当前超速。
2016-10-13_17:20:35.835 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.835 [车载] 车辆常用制动。
2016-10-13_17:20:35.835 [车载] 当前超速。
2016-10-13_17:20:35.934 [车载] 前方限速10公里每小时。
2016-10-13_17:20:35.934 [车载] 车辆常用制动。
2016-10-13_17:20:35.934 [车载] 当前超速。
2016-10-13_17:20:36.032 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.032 [车载] 车辆常用制动。
2016-10-13_17:20:36.032 [车载] 当前超速。
2016-10-13_17:20:36.133 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.144 [车载] 车辆常用制动。
2016-10-13_17:20:36.144 [车载] 当前超速。
2016-10-13_17:20:36.232 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.242 [车载] 车辆常用制动。
2016-10-13_17:20:36.243 [车载] 当前超速。
2016-10-13_17:20:36.333 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.333 [车载] 车辆常用制动。
2016-10-13_17:20:36.333 [车载] 当前超速。
2016-10-13_17:20:36.433 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.433 [车载] 车辆常用制动。
2016-10-13_17:20:36.434 [车载] 当前超速。
2016-10-13_17:20:36.535 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.535 [车载] 车辆常用制动。
2016-10-13_17:20:36.535 [车载] 当前超速。
2016-10-13_17:20:36.639 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.639 [车载] 车辆常用制动。
2016-10-13_17:20:36.639 [车载] 当前超速。
2016-10-13_17:20:36.782 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.782 [车载] 车辆常用制动。
2016-10-13_17:20:36.782 [车载] 当前超速。
2016-10-13_17:20:36.834 [车载] 前方限速10公里每小时。
2016-10-13_17:20:36.834 [车载] 车辆常用制动。
2016-10-13_17:20:36.834 [车载] 当前超速。
