2016-10-13_18:18:14.634 [软件] DMI自检完毕，准备启动。
2016-10-13_18:18:31.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.732 [车载] 车辆紧急制动。
2016-10-13_18:18:31.831 [车载] 车辆常用制动。
2016-10-13_18:18:31.831 [车载] 当前超速。
2016-10-13_18:18:31.831 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.831 [车载] 车辆紧急制动。
2016-10-13_18:18:31.934 [车载] 车辆常用制动。
2016-10-13_18:18:31.934 [车载] 当前超速。
2016-10-13_18:18:31.934 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.934 [车载] 车辆紧急制动。
2016-10-13_18:18:32.032 [车载] 车辆常用制动。
2016-10-13_18:18:32.032 [车载] 当前超速。
2016-10-13_18:18:32.032 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.032 [车载] 车辆紧急制动。
2016-10-13_18:18:32.137 [车载] 车辆常用制动。
2016-10-13_18:18:32.138 [车载] 当前超速。
2016-10-13_18:18:32.138 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.138 [车载] 车辆紧急制动。
2016-10-13_18:18:32.232 [车载] 车辆常用制动。
2016-10-13_18:18:32.232 [车载] 当前超速。
2016-10-13_18:18:32.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.232 [车载] 车辆紧急制动。
2016-10-13_18:18:32.334 [车载] 车辆常用制动。
2016-10-13_18:18:32.334 [车载] 当前超速。
2016-10-13_18:18:32.334 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.334 [车载] 车辆紧急制动。
2016-10-13_18:18:32.437 [车载] 车辆常用制动。
2016-10-13_18:18:32.437 [车载] 当前超速。
2016-10-13_18:18:32.437 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.437 [车载] 车辆紧急制动。
2016-10-13_18:18:32.539 [车载] 车辆常用制动。
2016-10-13_18:18:32.539 [车载] 当前超速。
2016-10-13_18:18:32.540 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.540 [车载] 车辆紧急制动。
2016-10-13_18:18:32.635 [车载] 车辆常用制动。
2016-10-13_18:18:32.635 [车载] 当前超速。
2016-10-13_18:18:32.635 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.635 [车载] 车辆紧急制动。
2016-10-13_18:18:32.739 [车载] 车辆常用制动。
2016-10-13_18:18:32.739 [车载] 当前超速。
2016-10-13_18:18:32.740 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.740 [车载] 车辆紧急制动。
2016-10-13_18:18:32.832 [车载] 车辆常用制动。
2016-10-13_18:18:32.832 [车载] 当前超速。
2016-10-13_18:18:32.832 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.832 [车载] 车辆紧急制动。
2016-10-13_18:18:32.938 [车载] 车辆常用制动。
2016-10-13_18:18:32.938 [车载] 当前超速。
2016-10-13_18:18:32.938 [车载] 前方限速11公里每小时。
2016-10-13_18:18:32.938 [车载] 车辆紧急制动。
2016-10-13_18:18:33.037 [车载] 车辆常用制动。
2016-10-13_18:18:33.037 [车载] 当前超速。
2016-10-13_18:18:33.037 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.037 [车载] 车辆紧急制动。
2016-10-13_18:18:33.245 [车载] 车辆常用制动。
2016-10-13_18:18:33.245 [车载] 当前超速。
2016-10-13_18:18:33.245 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.245 [车载] 车辆紧急制动。
2016-10-13_18:18:33.342 [车载] 车辆常用制动。
2016-10-13_18:18:33.343 [车载] 当前超速。
2016-10-13_18:18:33.343 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.343 [车载] 车辆紧急制动。
2016-10-13_18:18:33.459 [车载] 车辆常用制动。
2016-10-13_18:18:33.459 [车载] 当前超速。
2016-10-13_18:18:33.459 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.459 [车载] 车辆紧急制动。
2016-10-13_18:18:33.534 [车载] 车辆常用制动。
2016-10-13_18:18:33.534 [车载] 当前超速。
2016-10-13_18:18:33.534 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.535 [车载] 车辆紧急制动。
2016-10-13_18:18:33.637 [车载] 车辆常用制动。
2016-10-13_18:18:33.637 [车载] 当前超速。
2016-10-13_18:18:33.637 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.637 [车载] 车辆紧急制动。
2016-10-13_18:18:33.740 [车载] 车辆常用制动。
2016-10-13_18:18:33.740 [车载] 当前超速。
2016-10-13_18:18:33.740 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.740 [车载] 车辆紧急制动。
2016-10-13_18:18:33.938 [车载] 车辆常用制动。
2016-10-13_18:18:33.939 [车载] 当前超速。
2016-10-13_18:18:33.939 [车载] 前方限速11公里每小时。
2016-10-13_18:18:33.939 [车载] 车辆紧急制动。
2016-10-13_18:18:34.033 [车载] 车辆常用制动。
2016-10-13_18:18:34.037 [车载] 当前超速。
2016-10-13_18:18:34.037 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.037 [车载] 车辆紧急制动。
2016-10-13_18:18:34.133 [车载] 车辆常用制动。
2016-10-13_18:18:34.133 [车载] 当前超速。
2016-10-13_18:18:34.133 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.133 [车载] 车辆紧急制动。
2016-10-13_18:18:34.239 [车载] 车辆常用制动。
2016-10-13_18:18:34.239 [车载] 当前超速。
2016-10-13_18:18:34.239 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.239 [车载] 车辆紧急制动。
2016-10-13_18:18:34.333 [车载] 车辆常用制动。
2016-10-13_18:18:34.333 [车载] 当前超速。
2016-10-13_18:18:34.333 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.333 [车载] 车辆紧急制动。
2016-10-13_18:18:34.433 [车载] 车辆常用制动。
2016-10-13_18:18:34.434 [车载] 当前超速。
2016-10-13_18:18:34.434 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.434 [车载] 车辆紧急制动。
2016-10-13_18:18:34.532 [车载] 车辆常用制动。
2016-10-13_18:18:34.532 [车载] 当前超速。
2016-10-13_18:18:34.532 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.532 [车载] 车辆紧急制动。
2016-10-13_18:18:34.632 [车载] 车辆常用制动。
2016-10-13_18:18:34.632 [车载] 当前超速。
2016-10-13_18:18:34.632 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.632 [车载] 车辆紧急制动。
2016-10-13_18:18:34.738 [车载] 车辆常用制动。
2016-10-13_18:18:34.738 [车载] 当前超速。
2016-10-13_18:18:34.738 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.738 [车载] 车辆紧急制动。
2016-10-13_18:18:34.937 [车载] 车辆常用制动。
2016-10-13_18:18:34.937 [车载] 当前超速。
2016-10-13_18:18:34.937 [车载] 前方限速11公里每小时。
2016-10-13_18:18:34.937 [车载] 车辆紧急制动。
2016-10-13_18:18:35.033 [车载] 车辆常用制动。
2016-10-13_18:18:35.033 [车载] 当前超速。
2016-10-13_18:18:35.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.033 [车载] 车辆紧急制动。
2016-10-13_18:18:35.149 [车载] 车辆常用制动。
2016-10-13_18:18:35.149 [车载] 当前超速。
2016-10-13_18:18:35.150 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.150 [车载] 车辆紧急制动。
2016-10-13_18:18:35.232 [车载] 车辆常用制动。
2016-10-13_18:18:35.232 [车载] 当前超速。
2016-10-13_18:18:35.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.232 [车载] 车辆紧急制动。
2016-10-13_18:18:35.339 [车载] 车辆常用制动。
2016-10-13_18:18:35.339 [车载] 当前超速。
2016-10-13_18:18:35.339 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.339 [车载] 车辆紧急制动。
2016-10-13_18:18:35.533 [车载] 车辆常用制动。
2016-10-13_18:18:35.533 [车载] 当前超速。
2016-10-13_18:18:35.533 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.533 [车载] 车辆紧急制动。
2016-10-13_18:18:35.732 [车载] 车辆常用制动。
2016-10-13_18:18:35.732 [车载] 当前超速。
2016-10-13_18:18:35.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.732 [车载] 车辆紧急制动。
2016-10-13_18:18:35.933 [车载] 车辆常用制动。
2016-10-13_18:18:35.933 [车载] 当前超速。
2016-10-13_18:18:35.933 [车载] 前方限速11公里每小时。
2016-10-13_18:18:35.933 [车载] 车辆紧急制动。
2016-10-13_18:18:36.132 [车载] 车辆常用制动。
2016-10-13_18:18:36.132 [车载] 当前超速。
2016-10-13_18:18:36.132 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.132 [车载] 车辆紧急制动。
2016-10-13_18:18:36.232 [车载] 车辆常用制动。
2016-10-13_18:18:36.232 [车载] 当前超速。
2016-10-13_18:18:36.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.232 [车载] 车辆紧急制动。
2016-10-13_18:18:36.337 [车载] 车辆常用制动。
2016-10-13_18:18:36.338 [车载] 当前超速。
2016-10-13_18:18:36.338 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.338 [车载] 车辆紧急制动。
2016-10-13_18:18:36.434 [车载] 车辆常用制动。
2016-10-13_18:18:36.434 [车载] 当前超速。
2016-10-13_18:18:36.434 [车载] 前方限速11公里每小时。
2016-10-13_18:18:36.434 [车载] 车辆紧急制动。
2016-10-13_18:18:36.532 [车载] 车辆常用制动。
