2016-10-13_18:18:14.634 [软件] DMI自检完毕，准备启动。
2016-10-13_18:18:14.634 [车载] 当前超速。
2016-10-13_18:18:14.737 [车载] 前方限速11公里每小时。
2016-10-13_18:18:14.737 [车载] 当前超速。
2016-10-13_18:18:14.837 [车载] 前方限速11公里每小时。
2016-10-13_18:18:14.837 [车载] 当前超速。
2016-10-13_18:18:14.932 [车载] 前方限速11公里每小时。
2016-10-13_18:18:14.932 [车载] 当前超速。
2016-10-13_18:18:15.035 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.035 [车载] 当前超速。
2016-10-13_18:18:15.133 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.133 [车载] 当前超速。
2016-10-13_18:18:15.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.232 [车载] 当前超速。
2016-10-13_18:18:15.348 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.348 [车载] 当前超速。
2016-10-13_18:18:15.534 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.534 [车载] 当前超速。
2016-10-13_18:18:15.648 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.648 [车载] 当前超速。
2016-10-13_18:18:15.733 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.733 [车载] 当前超速。
2016-10-13_18:18:15.832 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.832 [车载] 当前超速。
2016-10-13_18:18:15.931 [车载] 前方限速11公里每小时。
2016-10-13_18:18:15.931 [车载] 当前超速。
2016-10-13_18:18:16.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.031 [车载] 当前超速。
2016-10-13_18:18:16.231 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.231 [车载] 当前超速。
2016-10-13_18:18:16.339 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.339 [车载] 当前超速。
2016-10-13_18:18:16.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.433 [车载] 当前超速。
2016-10-13_18:18:16.531 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.531 [车载] 当前超速。
2016-10-13_18:18:16.749 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.749 [车载] 当前超速。
2016-10-13_18:18:16.833 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.833 [车载] 当前超速。
2016-10-13_18:18:16.932 [车载] 前方限速11公里每小时。
2016-10-13_18:18:16.932 [车载] 当前超速。
2016-10-13_18:18:17.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.033 [车载] 当前超速。
2016-10-13_18:18:17.131 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.131 [车载] 当前超速。
2016-10-13_18:18:17.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.232 [车载] 当前超速。
2016-10-13_18:18:17.334 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.335 [车载] 当前超速。
2016-10-13_18:18:17.432 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.432 [车载] 当前超速。
2016-10-13_18:18:17.536 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.536 [车载] 当前超速。
2016-10-13_18:18:17.634 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.634 [车载] 当前超速。
2016-10-13_18:18:17.734 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.734 [车载] 当前超速。
2016-10-13_18:18:17.833 [车载] 前方限速11公里每小时。
2016-10-13_18:18:17.833 [车载] 当前超速。
2016-10-13_18:18:18.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.031 [车载] 当前超速。
2016-10-13_18:18:18.137 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.138 [车载] 当前超速。
2016-10-13_18:18:18.238 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.238 [车载] 当前超速。
2016-10-13_18:18:18.432 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.432 [车载] 当前超速。
2016-10-13_18:18:18.534 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.534 [车载] 当前超速。
2016-10-13_18:18:18.632 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.632 [车载] 当前超速。
2016-10-13_18:18:18.733 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.733 [车载] 当前超速。
2016-10-13_18:18:18.832 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.832 [车载] 当前超速。
2016-10-13_18:18:18.934 [车载] 前方限速11公里每小时。
2016-10-13_18:18:18.935 [车载] 当前超速。
2016-10-13_18:18:19.033 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.033 [车载] 当前超速。
2016-10-13_18:18:19.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.134 [车载] 当前超速。
2016-10-13_18:18:19.237 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.237 [车载] 当前超速。
2016-10-13_18:18:19.431 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.432 [车载] 当前超速。
2016-10-13_18:18:19.533 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.533 [车载] 当前超速。
2016-10-13_18:18:19.637 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.637 [车载] 当前超速。
2016-10-13_18:18:19.738 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.738 [车载] 当前超速。
2016-10-13_18:18:19.935 [车载] 前方限速11公里每小时。
2016-10-13_18:18:19.935 [车载] 当前超速。
2016-10-13_18:18:20.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.032 [车载] 当前超速。
2016-10-13_18:18:20.133 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.133 [车载] 当前超速。
2016-10-13_18:18:20.231 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.231 [车载] 当前超速。
2016-10-13_18:18:20.333 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.333 [车载] 当前超速。
2016-10-13_18:18:20.534 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.534 [车载] 当前超速。
2016-10-13_18:18:20.631 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.631 [车载] 当前超速。
2016-10-13_18:18:20.833 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.833 [车载] 当前超速。
2016-10-13_18:18:20.931 [车载] 前方限速11公里每小时。
2016-10-13_18:18:20.931 [车载] 当前超速。
2016-10-13_18:18:21.035 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.035 [车载] 当前超速。
2016-10-13_18:18:21.235 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.235 [车载] 当前超速。
2016-10-13_18:18:21.340 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.340 [车载] 当前超速。
2016-10-13_18:18:21.439 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.439 [车载] 当前超速。
2016-10-13_18:18:21.631 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.631 [车载] 当前超速。
2016-10-13_18:18:21.731 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.732 [车载] 当前超速。
2016-10-13_18:18:21.933 [车载] 前方限速11公里每小时。
2016-10-13_18:18:21.933 [车载] 当前超速。
2016-10-13_18:18:22.037 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.037 [车载] 当前超速。
2016-10-13_18:18:22.231 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.231 [车载] 当前超速。
2016-10-13_18:18:22.431 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.431 [车载] 当前超速。
2016-10-13_18:18:22.636 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.636 [车载] 当前超速。
2016-10-13_18:18:22.733 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.733 [车载] 当前超速。
2016-10-13_18:18:22.832 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.832 [车载] 当前超速。
2016-10-13_18:18:22.936 [车载] 前方限速11公里每小时。
2016-10-13_18:18:22.936 [车载] 当前超速。
2016-10-13_18:18:23.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.031 [车载] 当前超速。
2016-10-13_18:18:23.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.134 [车载] 当前超速。
2016-10-13_18:18:23.233 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.233 [车载] 当前超速。
2016-10-13_18:18:23.339 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.339 [车载] 当前超速。
2016-10-13_18:18:23.436 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.436 [车载] 当前超速。
2016-10-13_18:18:23.536 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.536 [车载] 当前超速。
2016-10-13_18:18:23.632 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.632 [车载] 当前超速。
2016-10-13_18:18:23.734 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.734 [车载] 当前超速。
2016-10-13_18:18:23.831 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.831 [车载] 当前超速。
2016-10-13_18:18:23.935 [车载] 前方限速11公里每小时。
2016-10-13_18:18:23.935 [车载] 当前超速。
2016-10-13_18:18:24.032 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.032 [车载] 当前超速。
2016-10-13_18:18:24.131 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.131 [车载] 当前超速。
2016-10-13_18:18:24.236 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.236 [车载] 当前超速。
2016-10-13_18:18:24.339 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.339 [车载] 当前超速。
2016-10-13_18:18:24.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.433 [车载] 当前超速。
2016-10-13_18:18:24.532 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.532 [车载] 当前超速。
2016-10-13_18:18:24.635 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.636 [车载] 当前超速。
2016-10-13_18:18:24.734 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.734 [车载] 当前超速。
2016-10-13_18:18:24.834 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.834 [车载] 当前超速。
2016-10-13_18:18:24.931 [车载] 前方限速11公里每小时。
2016-10-13_18:18:24.932 [车载] 当前超速。
2016-10-13_18:18:25.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.031 [车载] 当前超速。
2016-10-13_18:18:25.132 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.132 [车载] 当前超速。
2016-10-13_18:18:25.331 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.331 [车载] 当前超速。
2016-10-13_18:18:25.439 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.439 [车载] 当前超速。
2016-10-13_18:18:25.633 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.633 [车载] 当前超速。
2016-10-13_18:18:25.736 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.736 [车载] 当前超速。
2016-10-13_18:18:25.952 [车载] 前方限速11公里每小时。
2016-10-13_18:18:25.952 [车载] 当前超速。
2016-10-13_18:18:26.034 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.034 [车载] 当前超速。
2016-10-13_18:18:26.135 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.136 [车载] 当前超速。
2016-10-13_18:18:26.235 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.235 [车载] 当前超速。
2016-10-13_18:18:26.339 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.340 [车载] 当前超速。
2016-10-13_18:18:26.437 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.437 [车载] 当前超速。
2016-10-13_18:18:26.633 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.633 [车载] 当前超速。
2016-10-13_18:18:26.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.732 [车载] 当前超速。
2016-10-13_18:18:26.931 [车载] 前方限速11公里每小时。
2016-10-13_18:18:26.931 [车载] 当前超速。
2016-10-13_18:18:27.038 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.038 [车载] 当前超速。
2016-10-13_18:18:27.142 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.142 [车载] 当前超速。
2016-10-13_18:18:27.331 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.331 [车载] 当前超速。
2016-10-13_18:18:27.433 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.433 [车载] 当前超速。
2016-10-13_18:18:27.533 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.533 [车载] 当前超速。
2016-10-13_18:18:27.739 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.739 [车载] 当前超速。
2016-10-13_18:18:27.933 [车载] 前方限速11公里每小时。
2016-10-13_18:18:27.933 [车载] 当前超速。
2016-10-13_18:18:28.031 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.031 [车载] 当前超速。
2016-10-13_18:18:28.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.134 [车载] 当前超速。
2016-10-13_18:18:28.232 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.232 [车载] 当前超速。
2016-10-13_18:18:28.338 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.338 [车载] 当前超速。
2016-10-13_18:18:28.436 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.436 [车载] 当前超速。
2016-10-13_18:18:28.535 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.535 [车载] 当前超速。
2016-10-13_18:18:28.636 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.636 [车载] 当前超速。
2016-10-13_18:18:28.732 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.732 [车载] 当前超速。
2016-10-13_18:18:28.933 [车载] 前方限速11公里每小时。
2016-10-13_18:18:28.933 [车载] 当前超速。
2016-10-13_18:18:29.132 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.132 [车载] 当前超速。
2016-10-13_18:18:29.132 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.235 [车载] 当前超速。
2016-10-13_18:18:29.236 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.236 [车载] 当前超速。
2016-10-13_18:18:29.338 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.338 [车载] 车辆紧急制动。
2016-10-13_18:18:29.338 [车载] 当前超速。
2016-10-13_18:18:29.534 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.534 [车载] 车辆紧急制动。
2016-10-13_18:18:29.534 [车载] 当前超速。
2016-10-13_18:18:29.632 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.632 [车载] 车辆紧急制动。
2016-10-13_18:18:29.632 [车载] 当前超速。
2016-10-13_18:18:29.838 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.838 [车载] 车辆紧急制动。
2016-10-13_18:18:29.838 [车载] 当前超速。
2016-10-13_18:18:29.935 [车载] 前方限速11公里每小时。
2016-10-13_18:18:29.935 [车载] 车辆紧急制动。
2016-10-13_18:18:29.935 [车载] 当前超速。
2016-10-13_18:18:29.935 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.034 [车载] 车辆紧急制动。
2016-10-13_18:18:30.034 [车载] 当前超速。
2016-10-13_18:18:30.034 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.034 [车载] 车辆紧急制动。
2016-10-13_18:18:30.143 [车载] 车辆常用制动。
2016-10-13_18:18:30.143 [车载] 当前超速。
2016-10-13_18:18:30.143 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.143 [车载] 车辆紧急制动。
2016-10-13_18:18:30.233 [车载] 车辆常用制动。
2016-10-13_18:18:30.233 [车载] 当前超速。
2016-10-13_18:18:30.233 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.233 [车载] 车辆紧急制动。
2016-10-13_18:18:30.337 [车载] 车辆常用制动。
2016-10-13_18:18:30.337 [车载] 当前超速。
2016-10-13_18:18:30.337 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.337 [车载] 车辆紧急制动。
2016-10-13_18:18:30.574 [车载] 车辆常用制动。
2016-10-13_18:18:30.574 [车载] 当前超速。
2016-10-13_18:18:30.575 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.575 [车载] 车辆紧急制动。
2016-10-13_18:18:30.732 [车载] 车辆常用制动。
2016-10-13_18:18:30.733 [车载] 当前超速。
2016-10-13_18:18:30.733 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.733 [车载] 车辆紧急制动。
2016-10-13_18:18:30.943 [车载] 车辆常用制动。
2016-10-13_18:18:30.943 [车载] 当前超速。
2016-10-13_18:18:30.943 [车载] 前方限速11公里每小时。
2016-10-13_18:18:30.943 [车载] 车辆紧急制动。
2016-10-13_18:18:31.039 [车载] 车辆常用制动。
2016-10-13_18:18:31.039 [车载] 当前超速。
2016-10-13_18:18:31.039 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.039 [车载] 车辆紧急制动。
2016-10-13_18:18:31.134 [车载] 车辆常用制动。
2016-10-13_18:18:31.134 [车载] 当前超速。
2016-10-13_18:18:31.134 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.134 [车载] 车辆紧急制动。
2016-10-13_18:18:31.239 [车载] 车辆常用制动。
2016-10-13_18:18:31.239 [车载] 当前超速。
2016-10-13_18:18:31.240 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.240 [车载] 车辆紧急制动。
2016-10-13_18:18:31.344 [车载] 车辆常用制动。
2016-10-13_18:18:31.344 [车载] 当前超速。
2016-10-13_18:18:31.344 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.344 [车载] 车辆紧急制动。
2016-10-13_18:18:31.432 [车载] 车辆常用制动。
2016-10-13_18:18:31.432 [车载] 当前超速。
2016-10-13_18:18:31.432 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.432 [车载] 车辆紧急制动。
2016-10-13_18:18:31.532 [车载] 车辆常用制动。
2016-10-13_18:18:31.532 [车载] 当前超速。
2016-10-13_18:18:31.532 [车载] 前方限速11公里每小时。
2016-10-13_18:18:31.532 [车载] 车辆紧急制动。
2016-10-13_18:18:31.732 [车载] 车辆常用制动。
2016-10-13_18:18:31.732 [车载] 当前超速。
