2016-10-13_17:22:01.596 [软件] DMI自检完毕，准备启动。
2016-10-13_17:22:01.597 [车载] 当前超速。
2016-10-13_17:22:01.694 [车载] 前方限速10公里每小时。
2016-10-13_17:22:01.694 [车载] 车辆常用制动。
2016-10-13_17:22:01.694 [车载] 当前超速。
2016-10-13_17:22:01.801 [车载] 前方限速10公里每小时。
2016-10-13_17:22:01.801 [车载] 车辆常用制动。
2016-10-13_17:22:01.802 [车载] 当前超速。
2016-10-13_17:22:01.905 [车载] 前方限速10公里每小时。
2016-10-13_17:22:01.905 [车载] 车辆常用制动。
2016-10-13_17:22:01.905 [车载] 当前超速。
2016-10-13_17:22:02.008 [车载] 前方限速10公里每小时。
2016-10-13_17:22:02.008 [车载] 车辆常用制动。
2016-10-13_17:22:02.009 [车载] 当前超速。
2016-10-13_17:22:02.122 [车载] 前方限速10公里每小时。
2016-10-13_17:22:02.122 [车载] 车辆常用制动。
2016-10-13_17:22:02.122 [车载] 当前超速。
2016-10-13_17:22:02.224 [车载] 前方限速10公里每小时。
2016-10-13_17:22:02.224 [车载] 车辆常用制动。
2016-10-13_17:22:02.224 [车载] 当前超速。
2016-10-13_17:22:02.334 [车载] 前方限速10公里每小时。
2016-10-13_17:22:02.334 [车载] 车辆常用制动。
2016-10-13_17:22:02.334 [车载] 当前超速。
2016-10-13_17:22:02.427 [车载] 前方限速10公里每小时。
2016-10-13_17:22:02.427 [车载] 车辆常用制动。
2016-10-13_17:22:02.427 [车载] 当前超速。
2016-10-13_17:22:06.041 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.042 [车载] 车辆常用制动。
2016-10-13_17:22:06.042 [车载] 当前超速。
2016-10-13_17:22:06.085 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.085 [车载] 车辆常用制动。
2016-10-13_17:22:06.085 [车载] 当前超速。
2016-10-13_17:22:06.345 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.345 [车载] 车辆常用制动。
2016-10-13_17:22:06.345 [车载] 当前超速。
2016-10-13_17:22:06.358 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.358 [车载] 车辆常用制动。
2016-10-13_17:22:06.358 [车载] 当前超速。
2016-10-13_17:22:06.466 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.466 [车载] 车辆常用制动。
2016-10-13_17:22:06.466 [车载] 当前超速。
2016-10-13_17:22:06.695 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.696 [车载] 车辆常用制动。
2016-10-13_17:22:06.696 [车载] 当前超速。
2016-10-13_17:22:06.797 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.797 [车载] 车辆常用制动。
2016-10-13_17:22:06.797 [车载] 当前超速。
2016-10-13_17:22:06.871 [车载] 前方限速10公里每小时。
2016-10-13_17:22:06.872 [车载] 车辆常用制动。
2016-10-13_17:22:06.872 [车载] 当前超速。
2016-10-13_17:22:07.194 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.194 [车载] 车辆常用制动。
2016-10-13_17:22:07.195 [车载] 当前超速。
2016-10-13_17:22:07.206 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.206 [车载] 车辆常用制动。
2016-10-13_17:22:07.206 [车载] 当前超速。
2016-10-13_17:22:07.357 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.357 [车载] 车辆常用制动。
2016-10-13_17:22:07.357 [车载] 当前超速。
2016-10-13_17:22:07.524 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.524 [车载] 车辆常用制动。
2016-10-13_17:22:07.524 [车载] 当前超速。
2016-10-13_17:22:07.551 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.551 [车载] 车辆常用制动。
2016-10-13_17:22:07.552 [车载] 当前超速。
2016-10-13_17:22:07.729 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.729 [车载] 车辆常用制动。
2016-10-13_17:22:07.729 [车载] 当前超速。
2016-10-13_17:22:07.843 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.843 [车载] 车辆常用制动。
2016-10-13_17:22:07.843 [车载] 当前超速。
2016-10-13_17:22:07.936 [车载] 前方限速10公里每小时。
2016-10-13_17:22:07.936 [车载] 车辆常用制动。
2016-10-13_17:22:07.937 [车载] 当前超速。
2016-10-13_17:22:08.032 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.033 [车载] 车辆常用制动。
2016-10-13_17:22:08.033 [车载] 当前超速。
2016-10-13_17:22:08.136 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.136 [车载] 车辆常用制动。
2016-10-13_17:22:08.136 [车载] 当前超速。
2016-10-13_17:22:08.332 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.332 [车载] 车辆常用制动。
2016-10-13_17:22:08.332 [车载] 当前超速。
2016-10-13_17:22:08.436 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.437 [车载] 车辆常用制动。
2016-10-13_17:22:08.437 [车载] 当前超速。
2016-10-13_17:22:08.537 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.538 [车载] 车辆常用制动。
2016-10-13_17:22:08.538 [车载] 当前超速。
2016-10-13_17:22:08.632 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.632 [车载] 车辆常用制动。
2016-10-13_17:22:08.632 [车载] 当前超速。
2016-10-13_17:22:08.739 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.739 [车载] 车辆常用制动。
2016-10-13_17:22:08.739 [车载] 当前超速。
2016-10-13_17:22:08.838 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.838 [车载] 车辆常用制动。
2016-10-13_17:22:08.838 [车载] 当前超速。
2016-10-13_17:22:08.941 [车载] 前方限速10公里每小时。
2016-10-13_17:22:08.941 [车载] 车辆常用制动。
2016-10-13_17:22:08.941 [车载] 当前超速。
2016-10-13_17:22:09.141 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.142 [车载] 车辆常用制动。
2016-10-13_17:22:09.143 [车载] 当前超速。
2016-10-13_17:22:09.342 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.342 [车载] 车辆常用制动。
2016-10-13_17:22:09.342 [车载] 当前超速。
2016-10-13_17:22:09.447 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.447 [车载] 车辆常用制动。
2016-10-13_17:22:09.447 [车载] 当前超速。
2016-10-13_17:22:09.553 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.553 [车载] 车辆常用制动。
2016-10-13_17:22:09.554 [车载] 当前超速。
2016-10-13_17:22:09.648 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.649 [车载] 车辆常用制动。
2016-10-13_17:22:09.649 [车载] 当前超速。
2016-10-13_17:22:09.841 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.841 [车载] 车辆常用制动。
2016-10-13_17:22:09.841 [车载] 当前超速。
2016-10-13_17:22:09.937 [车载] 前方限速10公里每小时。
2016-10-13_17:22:09.937 [车载] 车辆常用制动。
2016-10-13_17:22:09.937 [车载] 当前超速。
2016-10-13_17:22:10.032 [车载] 前方限速10公里每小时。
2016-10-13_17:22:10.032 [车载] 车辆常用制动。
2016-10-13_17:22:10.032 [车载] 当前超速。
2016-10-13_17:22:10.239 [车载] 前方限速10公里每小时。
