2016-10-13_17:56:34.434 [软件] DMI自检完毕，准备启动。
2016-10-13_17:56:34.434 [车载] 当前超速。
2016-10-13_17:56:34.434 [车载] 前方限速11公里每小时。
2016-10-13_17:56:34.434 [车载] 车辆紧急制动。
2016-10-13_17:56:34.633 [车载] 车辆常用制动。
2016-10-13_17:56:34.633 [车载] 当前超速。
2016-10-13_17:56:34.633 [车载] 前方限速11公里每小时。
2016-10-13_17:56:34.633 [车载] 车辆紧急制动。
2016-10-13_17:56:34.837 [车载] 车辆常用制动。
2016-10-13_17:56:34.837 [车载] 当前超速。
2016-10-13_17:56:34.837 [车载] 前方限速11公里每小时。
2016-10-13_17:56:34.837 [车载] 车辆紧急制动。
2016-10-13_17:56:34.955 [车载] 车辆常用制动。
2016-10-13_17:56:34.955 [车载] 当前超速。
2016-10-13_17:56:34.955 [车载] 前方限速11公里每小时。
2016-10-13_17:56:34.955 [车载] 车辆紧急制动。
2016-10-13_17:56:35.039 [车载] 车辆常用制动。
2016-10-13_17:56:35.039 [车载] 当前超速。
2016-10-13_17:56:35.039 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.039 [车载] 车辆紧急制动。
2016-10-13_17:56:35.135 [车载] 车辆常用制动。
2016-10-13_17:56:35.135 [车载] 当前超速。
2016-10-13_17:56:35.135 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.135 [车载] 车辆紧急制动。
2016-10-13_17:56:35.235 [车载] 车辆常用制动。
2016-10-13_17:56:35.235 [车载] 当前超速。
2016-10-13_17:56:35.235 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.235 [车载] 车辆紧急制动。
2016-10-13_17:56:35.333 [车载] 车辆常用制动。
2016-10-13_17:56:35.333 [车载] 当前超速。
2016-10-13_17:56:35.333 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.333 [车载] 车辆紧急制动。
2016-10-13_17:56:35.434 [车载] 车辆常用制动。
2016-10-13_17:56:35.434 [车载] 当前超速。
2016-10-13_17:56:35.434 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.434 [车载] 车辆紧急制动。
2016-10-13_17:56:35.537 [车载] 车辆常用制动。
2016-10-13_17:56:35.537 [车载] 当前超速。
2016-10-13_17:56:35.537 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.537 [车载] 车辆紧急制动。
2016-10-13_17:56:35.643 [车载] 车辆常用制动。
2016-10-13_17:56:35.651 [车载] 当前超速。
2016-10-13_17:56:35.652 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.652 [车载] 车辆紧急制动。
2016-10-13_17:56:35.836 [车载] 车辆常用制动。
2016-10-13_17:56:35.837 [车载] 当前超速。
2016-10-13_17:56:35.837 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.837 [车载] 车辆紧急制动。
2016-10-13_17:56:35.934 [车载] 车辆常用制动。
2016-10-13_17:56:35.934 [车载] 当前超速。
2016-10-13_17:56:35.934 [车载] 前方限速11公里每小时。
2016-10-13_17:56:35.934 [车载] 车辆紧急制动。
2016-10-13_17:56:36.132 [车载] 车辆常用制动。
2016-10-13_17:56:36.132 [车载] 当前超速。
2016-10-13_17:56:36.132 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.132 [车载] 车辆紧急制动。
2016-10-13_17:56:36.234 [车载] 车辆常用制动。
2016-10-13_17:56:36.234 [车载] 当前超速。
2016-10-13_17:56:36.234 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.234 [车载] 车辆紧急制动。
2016-10-13_17:56:36.339 [车载] 车辆常用制动。
2016-10-13_17:56:36.339 [车载] 当前超速。
2016-10-13_17:56:36.339 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.339 [车载] 车辆紧急制动。
2016-10-13_17:56:36.434 [车载] 车辆常用制动。
2016-10-13_17:56:36.434 [车载] 当前超速。
2016-10-13_17:56:36.434 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.434 [车载] 车辆紧急制动。
2016-10-13_17:56:36.542 [车载] 车辆常用制动。
2016-10-13_17:56:36.543 [车载] 当前超速。
2016-10-13_17:56:36.543 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.543 [车载] 车辆紧急制动。
2016-10-13_17:56:36.645 [车载] 车辆常用制动。
2016-10-13_17:56:36.646 [车载] 当前超速。
2016-10-13_17:56:36.646 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.646 [车载] 车辆紧急制动。
2016-10-13_17:56:36.836 [车载] 车辆常用制动。
2016-10-13_17:56:36.836 [车载] 当前超速。
2016-10-13_17:56:36.836 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.836 [车载] 车辆紧急制动。
2016-10-13_17:56:36.937 [车载] 车辆常用制动。
2016-10-13_17:56:36.937 [车载] 当前超速。
2016-10-13_17:56:36.937 [车载] 前方限速11公里每小时。
2016-10-13_17:56:36.937 [车载] 车辆紧急制动。
2016-10-13_17:56:37.036 [车载] 车辆常用制动。
2016-10-13_17:56:37.036 [车载] 当前超速。
2016-10-13_17:56:37.036 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.036 [车载] 车辆紧急制动。
2016-10-13_17:56:37.239 [车载] 车辆常用制动。
2016-10-13_17:56:37.239 [车载] 当前超速。
2016-10-13_17:56:37.239 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.239 [车载] 车辆紧急制动。
2016-10-13_17:56:37.333 [车载] 车辆常用制动。
2016-10-13_17:56:37.333 [车载] 当前超速。
2016-10-13_17:56:37.333 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.333 [车载] 车辆紧急制动。
2016-10-13_17:56:37.440 [车载] 车辆常用制动。
2016-10-13_17:56:37.440 [车载] 当前超速。
2016-10-13_17:56:37.440 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.440 [车载] 车辆紧急制动。
2016-10-13_17:56:37.536 [车载] 车辆常用制动。
2016-10-13_17:56:37.536 [车载] 当前超速。
2016-10-13_17:56:37.536 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.536 [车载] 车辆紧急制动。
2016-10-13_17:56:37.743 [车载] 车辆常用制动。
2016-10-13_17:56:37.743 [车载] 当前超速。
2016-10-13_17:56:37.743 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.743 [车载] 车辆紧急制动。
2016-10-13_17:56:37.933 [车载] 车辆常用制动。
2016-10-13_17:56:37.933 [车载] 当前超速。
2016-10-13_17:56:37.933 [车载] 前方限速11公里每小时。
2016-10-13_17:56:37.933 [车载] 车辆紧急制动。
2016-10-13_17:56:38.035 [车载] 车辆常用制动。
2016-10-13_17:56:38.035 [车载] 当前超速。
2016-10-13_17:56:38.035 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.035 [车载] 车辆紧急制动。
2016-10-13_17:56:38.142 [车载] 车辆常用制动。
2016-10-13_17:56:38.142 [车载] 当前超速。
2016-10-13_17:56:38.142 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.143 [车载] 车辆紧急制动。
2016-10-13_17:56:38.232 [车载] 车辆常用制动。
2016-10-13_17:56:38.232 [车载] 当前超速。
2016-10-13_17:56:38.232 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.232 [车载] 车辆紧急制动。
2016-10-13_17:56:38.340 [车载] 车辆常用制动。
2016-10-13_17:56:38.340 [车载] 当前超速。
2016-10-13_17:56:38.340 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.340 [车载] 车辆紧急制动。
2016-10-13_17:56:38.437 [车载] 车辆常用制动。
2016-10-13_17:56:38.437 [车载] 当前超速。
2016-10-13_17:56:38.437 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.438 [车载] 车辆紧急制动。
2016-10-13_17:56:38.539 [车载] 车辆常用制动。
2016-10-13_17:56:38.539 [车载] 当前超速。
2016-10-13_17:56:38.540 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.540 [车载] 车辆紧急制动。
2016-10-13_17:56:38.639 [车载] 车辆常用制动。
2016-10-13_17:56:38.640 [车载] 当前超速。
2016-10-13_17:56:38.640 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.640 [车载] 车辆紧急制动。
2016-10-13_17:56:38.737 [车载] 车辆常用制动。
2016-10-13_17:56:38.737 [车载] 当前超速。
2016-10-13_17:56:38.737 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.738 [车载] 车辆紧急制动。
2016-10-13_17:56:38.832 [车载] 车辆常用制动。
2016-10-13_17:56:38.832 [车载] 当前超速。
2016-10-13_17:56:38.832 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.832 [车载] 车辆紧急制动。
2016-10-13_17:56:38.937 [车载] 车辆常用制动。
2016-10-13_17:56:38.937 [车载] 当前超速。
2016-10-13_17:56:38.937 [车载] 前方限速11公里每小时。
2016-10-13_17:56:38.937 [车载] 车辆紧急制动。
2016-10-13_17:56:39.037 [车载] 车辆常用制动。
2016-10-13_17:56:39.037 [车载] 当前超速。
2016-10-13_17:56:39.037 [车载] 前方限速11公里每小时。
2016-10-13_17:56:39.037 [车载] 车辆紧急制动。
2016-10-13_17:56:39.132 [车载] 车辆常用制动。
2016-10-13_17:56:39.132 [车载] 当前超速。
2016-10-13_17:56:39.132 [车载] 前方限速11公里每小时。
2016-10-13_17:56:39.132 [车载] 车辆紧急制动。
2016-10-13_17:56:39.238 [车载] 车辆常用制动。
2016-10-13_17:56:39.238 [车载] 当前超速。
2016-10-13_17:56:39.238 [车载] 前方限速11公里每小时。
2016-10-13_17:56:39.238 [车载] 车辆紧急制动。
2016-10-13_17:56:39.434 [车载] 车辆常用制动。
2016-10-13_17:56:39.434 [车载] 当前超速。
2016-10-13_17:56:39.434 [车载] 前方限速11公里每小时。
2016-10-13_17:56:39.434 [车载] 车辆紧急制动。
2016-10-13_17:56:39.535 [车载] 车辆常用制动。
2016-10-13_17:56:39.535 [车载] 当前超速。
