2016-10-13_18:41:50.252 [软件] DMI自检完毕，准备启动。
2016-10-13_18:41:50.252 [车载] 车辆紧急制动。
2016-10-13_18:41:50.347 [车载] 车辆常用制动。
2016-10-13_18:41:50.347 [车载] 车辆紧急制动。
2016-10-13_18:41:50.447 [车载] 车辆常用制动。
2016-10-13_18:41:50.447 [车载] 车辆紧急制动。
2016-10-13_18:41:50.537 [车载] 车辆常用制动。
2016-10-13_18:41:50.537 [车载] 车辆紧急制动。
2016-10-13_18:41:50.632 [车载] 车辆常用制动。
2016-10-13_18:41:50.632 [车载] 车辆紧急制动。
2016-10-13_18:41:50.732 [车载] 车辆常用制动。
2016-10-13_18:41:50.732 [车载] 车辆紧急制动。
2016-10-13_18:41:50.831 [车载] 车辆常用制动。
2016-10-13_18:41:50.832 [车载] 车辆紧急制动。
2016-10-13_18:41:50.931 [车载] 车辆常用制动。
2016-10-13_18:41:50.931 [车载] 车辆紧急制动。
2016-10-13_18:41:51.033 [车载] 车辆常用制动。
2016-10-13_18:41:51.033 [车载] 车辆紧急制动。
2016-10-13_18:41:51.132 [车载] 车辆常用制动。
2016-10-13_18:41:51.132 [车载] 车辆紧急制动。
2016-10-13_18:41:51.238 [车载] 车辆常用制动。
2016-10-13_18:41:51.240 [车载] 车辆紧急制动。
2016-10-13_18:41:51.432 [车载] 车辆常用制动。
2016-10-13_18:41:51.432 [车载] 车辆紧急制动。
2016-10-13_18:41:51.632 [车载] 车辆常用制动。
2016-10-13_18:41:51.632 [车载] 车辆紧急制动。
2016-10-13_18:41:51.733 [车载] 车辆常用制动。
2016-10-13_18:41:51.733 [车载] 车辆紧急制动。
2016-10-13_18:41:51.838 [车载] 车辆常用制动。
2016-10-13_18:41:51.838 [车载] 车辆紧急制动。
2016-10-13_18:41:52.035 [车载] 车辆常用制动。
2016-10-13_18:41:52.036 [车载] 车辆紧急制动。
2016-10-13_18:41:52.136 [车载] 车辆常用制动。
2016-10-13_18:41:52.136 [车载] 车辆紧急制动。
2016-10-13_18:41:52.233 [车载] 车辆常用制动。
2016-10-13_18:41:52.233 [车载] 车辆紧急制动。
2016-10-13_18:41:52.333 [车载] 车辆常用制动。
2016-10-13_18:41:52.333 [车载] 车辆紧急制动。
2016-10-13_18:41:52.431 [车载] 车辆常用制动。
2016-10-13_18:41:52.431 [车载] 车辆紧急制动。
2016-10-13_18:41:52.535 [车载] 车辆常用制动。
