2016-10-13_17:54:25.944 [软件] DMI自检完毕，准备启动。
2016-10-13_17:54:25.944 [车载] 车辆紧急制动。
2016-10-13_17:54:26.133 [车载] 车辆常用制动。
2016-10-13_17:54:26.133 [车载] 车辆紧急制动。
2016-10-13_17:54:26.232 [车载] 车辆常用制动。
2016-10-13_17:54:26.232 [车载] 车辆紧急制动。
2016-10-13_17:54:26.336 [车载] 车辆常用制动。
2016-10-13_17:54:26.336 [车载] 车辆紧急制动。
2016-10-13_17:54:26.432 [车载] 车辆常用制动。
2016-10-13_17:54:26.432 [车载] 车辆紧急制动。
2016-10-13_17:54:26.547 [车载] 车辆常用制动。
2016-10-13_17:54:26.547 [车载] 车辆紧急制动。
2016-10-13_17:54:26.642 [车载] 车辆常用制动。
2016-10-13_17:54:26.642 [车载] 车辆紧急制动。
2016-10-13_17:54:26.836 [车载] 车辆常用制动。
2016-10-13_17:54:26.836 [车载] 车辆紧急制动。
2016-10-13_17:54:26.936 [车载] 车辆常用制动。
2016-10-13_17:54:26.936 [车载] 车辆紧急制动。
2016-10-13_17:54:27.133 [车载] 车辆常用制动。
2016-10-13_17:54:27.134 [车载] 车辆紧急制动。
2016-10-13_17:54:27.232 [车载] 车辆常用制动。
2016-10-13_17:54:27.232 [车载] 车辆紧急制动。
2016-10-13_17:54:27.336 [车载] 车辆常用制动。
2016-10-13_17:54:27.336 [车载] 车辆紧急制动。
2016-10-13_17:54:27.433 [车载] 车辆常用制动。
2016-10-13_17:54:27.433 [车载] 车辆紧急制动。
2016-10-13_17:54:27.531 [车载] 车辆常用制动。
2016-10-13_17:54:27.531 [车载] 车辆紧急制动。
2016-10-13_17:54:27.635 [车载] 车辆常用制动。
2016-10-13_17:54:27.635 [车载] 车辆紧急制动。
2016-10-13_17:54:27.732 [车载] 车辆常用制动。
2016-10-13_17:54:27.732 [车载] 车辆紧急制动。
2016-10-13_17:54:27.833 [车载] 车辆常用制动。
2016-10-13_17:54:27.833 [车载] 车辆紧急制动。
2016-10-13_17:54:27.932 [车载] 车辆常用制动。
2016-10-13_17:54:27.932 [车载] 车辆紧急制动。
2016-10-13_17:54:28.033 [车载] 车辆常用制动。
2016-10-13_17:54:28.034 [车载] 车辆紧急制动。
2016-10-13_17:54:28.134 [车载] 车辆常用制动。
2016-10-13_17:54:28.134 [车载] 车辆紧急制动。
2016-10-13_17:54:28.234 [车载] 车辆常用制动。
2016-10-13_17:54:28.235 [车载] 车辆紧急制动。
2016-10-13_17:54:28.334 [车载] 车辆常用制动。
2016-10-13_17:54:28.334 [车载] 车辆紧急制动。
2016-10-13_17:54:28.436 [车载] 车辆常用制动。
2016-10-13_17:54:28.437 [车载] 车辆紧急制动。
2016-10-13_17:54:28.536 [车载] 车辆常用制动。
2016-10-13_17:54:28.536 [车载] 车辆紧急制动。
2016-10-13_17:54:28.631 [车载] 车辆常用制动。
2016-10-13_17:54:28.631 [车载] 车辆紧急制动。
2016-10-13_17:54:28.735 [车载] 车辆常用制动。
2016-10-13_17:54:28.736 [车载] 车辆紧急制动。
2016-10-13_17:54:28.835 [车载] 车辆常用制动。
