2016-10-13_17:23:46.132 [软件] DMI自检完毕，准备启动。
2016-10-13_17:23:46.160 [车载] 当前超速。
2016-10-13_17:23:46.233 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.233 [车载] 车辆常用制动。
2016-10-13_17:23:46.233 [车载] 当前超速。
2016-10-13_17:23:46.336 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.336 [车载] 车辆常用制动。
2016-10-13_17:23:46.336 [车载] 当前超速。
2016-10-13_17:23:46.432 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.432 [车载] 车辆常用制动。
2016-10-13_17:23:46.432 [车载] 当前超速。
2016-10-13_17:23:46.532 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.532 [车载] 车辆常用制动。
2016-10-13_17:23:46.532 [车载] 当前超速。
2016-10-13_17:23:46.654 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.654 [车载] 车辆常用制动。
2016-10-13_17:23:46.654 [车载] 当前超速。
2016-10-13_17:23:46.836 [车载] 前方限速10公里每小时。
2016-10-13_17:23:46.836 [车载] 车辆常用制动。
2016-10-13_17:23:46.836 [车载] 当前超速。
2016-10-13_17:23:47.032 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.032 [车载] 车辆常用制动。
2016-10-13_17:23:47.033 [车载] 当前超速。
2016-10-13_17:23:47.139 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.139 [车载] 车辆常用制动。
2016-10-13_17:23:47.139 [车载] 当前超速。
2016-10-13_17:23:47.231 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.231 [车载] 车辆常用制动。
2016-10-13_17:23:47.231 [车载] 当前超速。
2016-10-13_17:23:47.432 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.432 [车载] 车辆常用制动。
2016-10-13_17:23:47.432 [车载] 当前超速。
2016-10-13_17:23:47.533 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.533 [车载] 车辆常用制动。
2016-10-13_17:23:47.533 [车载] 当前超速。
2016-10-13_17:23:47.633 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.633 [车载] 车辆常用制动。
2016-10-13_17:23:47.633 [车载] 当前超速。
2016-10-13_17:23:47.732 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.732 [车载] 车辆常用制动。
2016-10-13_17:23:47.732 [车载] 当前超速。
2016-10-13_17:23:47.844 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.844 [车载] 车辆常用制动。
2016-10-13_17:23:47.844 [车载] 当前超速。
2016-10-13_17:23:47.936 [车载] 前方限速10公里每小时。
2016-10-13_17:23:47.936 [车载] 车辆常用制动。
2016-10-13_17:23:47.936 [车载] 当前超速。
2016-10-13_17:23:48.034 [车载] 前方限速10公里每小时。
2016-10-13_17:23:48.034 [车载] 车辆常用制动。
2016-10-13_17:23:48.034 [车载] 当前超速。
2016-10-13_17:23:48.144 [车载] 前方限速10公里每小时。
2016-10-13_17:23:48.144 [车载] 车辆常用制动。
2016-10-13_17:23:48.144 [车载] 当前超速。
2016-10-13_17:23:48.232 [车载] 前方限速10公里每小时。
2016-10-13_17:23:48.233 [车载] 车辆常用制动。
2016-10-13_17:23:48.233 [车载] 当前超速。
2016-10-13_17:23:48.337 [车载] 前方限速10公里每小时。
