2016-10-13_18:36:53.734 [软件] DMI自检完毕，准备启动。
2016-10-13_18:36:56.332 [车载] 车辆紧急制动。
2016-10-13_18:36:56.332 [调度]  请查收来自调度的短消息，这是一条来自吴彬的问候！ 。
2016-10-13_18:36:56.434 [车载] 车辆常用制动。
2016-10-13_18:36:56.435 [调度]  请查收来自调度的短消息，这是一条来自吴彬的问候！ 。
2016-10-13_18:36:56.532 [车载] 车辆常用制动。
2016-10-13_18:36:56.532 [车载] 车辆紧急制动。
2016-10-13_18:36:56.632 [车载] 车辆常用制动。
2016-10-13_18:36:56.632 [车载] 车辆紧急制动。
2016-10-13_18:36:56.831 [车载] 车辆常用制动。
2016-10-13_18:36:56.831 [车载] 车辆紧急制动。
2016-10-13_18:36:56.954 [车载] 车辆常用制动。
2016-10-13_18:36:56.954 [车载] 车辆紧急制动。
2016-10-13_18:36:57.032 [车载] 车辆常用制动。
2016-10-13_18:36:57.032 [车载] 车辆紧急制动。
2016-10-13_18:36:57.296 [车载] 车辆常用制动。
2016-10-13_18:36:57.296 [车载] 车辆紧急制动。
2016-10-13_18:36:57.432 [车载] 车辆常用制动。
2016-10-13_18:36:57.432 [车载] 车辆紧急制动。
2016-10-13_18:36:57.531 [车载] 车辆常用制动。
2016-10-13_18:36:57.531 [车载] 车辆紧急制动。
2016-10-13_18:36:57.631 [车载] 车辆常用制动。
2016-10-13_18:36:57.631 [车载] 车辆紧急制动。
2016-10-13_18:36:57.736 [车载] 车辆常用制动。
2016-10-13_18:36:57.736 [车载] 车辆紧急制动。
2016-10-13_18:36:57.934 [车载] 车辆常用制动。
2016-10-13_18:36:57.935 [车载] 车辆紧急制动。
2016-10-13_18:36:58.032 [车载] 车辆常用制动。
2016-10-13_18:36:58.032 [车载] 车辆紧急制动。
2016-10-13_18:36:58.134 [车载] 车辆常用制动。
2016-10-13_18:36:58.134 [车载] 车辆紧急制动。
2016-10-13_18:36:58.233 [车载] 车辆常用制动。
2016-10-13_18:36:58.233 [车载] 车辆紧急制动。
2016-10-13_18:36:58.337 [车载] 车辆常用制动。
2016-10-13_18:36:58.337 [车载] 车辆紧急制动。
2016-10-13_18:36:58.432 [车载] 车辆常用制动。
2016-10-13_18:36:58.432 [车载] 车辆紧急制动。
2016-10-13_18:36:58.633 [车载] 车辆常用制动。
2016-10-13_18:36:58.633 [车载] 车辆紧急制动。
2016-10-13_18:36:58.734 [车载] 车辆常用制动。
2016-10-13_18:36:58.734 [车载] 车辆紧急制动。
2016-10-13_18:36:58.835 [车载] 车辆常用制动。
2016-10-13_18:36:58.835 [车载] 车辆紧急制动。
2016-10-13_18:36:58.931 [车载] 车辆常用制动。
2016-10-13_18:36:58.931 [车载] 车辆紧急制动。
2016-10-13_18:36:59.031 [车载] 车辆常用制动。
2016-10-13_18:36:59.031 [车载] 车辆紧急制动。
2016-10-13_18:36:59.132 [车载] 车辆常用制动。
2016-10-13_18:36:59.132 [车载] 车辆紧急制动。
2016-10-13_18:36:59.236 [车载] 车辆常用制动。
2016-10-13_18:36:59.237 [车载] 车辆紧急制动。
2016-10-13_18:36:59.332 [车载] 车辆常用制动。
2016-10-13_18:36:59.332 [车载] 车辆紧急制动。
2016-10-13_18:36:59.432 [车载] 车辆常用制动。
2016-10-13_18:36:59.432 [车载] 车辆紧急制动。
2016-10-13_18:36:59.534 [车载] 车辆常用制动。
2016-10-13_18:36:59.534 [车载] 车辆紧急制动。
2016-10-13_18:36:59.634 [车载] 车辆常用制动。
2016-10-13_18:36:59.634 [车载] 车辆紧急制动。
2016-10-13_18:36:59.735 [车载] 车辆常用制动。
2016-10-13_18:36:59.736 [车载] 车辆紧急制动。
2016-10-13_18:36:59.832 [车载] 车辆常用制动。
2016-10-13_18:36:59.832 [车载] 车辆紧急制动。
2016-10-13_18:36:59.934 [车载] 车辆常用制动。
2016-10-13_18:36:59.934 [车载] 车辆紧急制动。
2016-10-13_18:37:00.040 [车载] 车辆常用制动。
2016-10-13_18:37:00.041 [车载] 车辆紧急制动。
2016-10-13_18:37:00.235 [车载] 车辆常用制动。
2016-10-13_18:37:00.235 [车载] 车辆紧急制动。
2016-10-13_18:37:00.332 [车载] 车辆常用制动。
2016-10-13_18:37:00.332 [车载] 车辆紧急制动。
2016-10-13_18:37:00.431 [车载] 车辆常用制动。
2016-10-13_18:37:00.431 [车载] 车辆紧急制动。
2016-10-13_18:37:00.534 [车载] 车辆常用制动。
2016-10-13_18:37:00.534 [车载] 车辆紧急制动。
2016-10-13_18:37:00.632 [车载] 车辆常用制动。
2016-10-13_18:37:00.632 [车载] 车辆紧急制动。
2016-10-13_18:37:00.734 [车载] 车辆常用制动。
2016-10-13_18:37:00.734 [车载] 车辆紧急制动。
2016-10-13_18:37:00.834 [车载] 车辆常用制动。
2016-10-13_18:37:00.834 [车载] 车辆紧急制动。
2016-10-13_18:37:00.937 [车载] 车辆常用制动。
2016-10-13_18:37:00.937 [车载] 车辆紧急制动。
2016-10-13_18:37:01.036 [车载] 车辆常用制动。
2016-10-13_18:37:01.036 [车载] 车辆紧急制动。
2016-10-13_18:37:01.136 [车载] 车辆常用制动。
2016-10-13_18:37:01.136 [车载] 车辆紧急制动。
2016-10-13_18:37:01.332 [车载] 车辆常用制动。
2016-10-13_18:37:01.333 [车载] 车辆紧急制动。
2016-10-13_18:37:01.432 [车载] 车辆常用制动。
2016-10-13_18:37:01.433 [车载] 车辆紧急制动。
2016-10-13_18:37:01.532 [车载] 车辆常用制动。
2016-10-13_18:37:01.532 [车载] 车辆紧急制动。
2016-10-13_18:37:01.631 [车载] 车辆常用制动。
2016-10-13_18:37:01.631 [车载] 车辆紧急制动。
2016-10-13_18:37:01.836 [车载] 车辆常用制动。
2016-10-13_18:37:01.836 [车载] 车辆紧急制动。
2016-10-13_18:37:01.938 [车载] 车辆常用制动。
2016-10-13_18:37:01.938 [车载] 车辆紧急制动。
2016-10-13_18:37:02.031 [车载] 车辆常用制动。
2016-10-13_18:37:02.031 [车载] 车辆紧急制动。
2016-10-13_18:37:02.132 [车载] 车辆常用制动。
2016-10-13_18:37:02.132 [车载] 车辆紧急制动。
2016-10-13_18:37:02.237 [车载] 车辆常用制动。
2016-10-13_18:37:02.237 [车载] 车辆紧急制动。
2016-10-13_18:37:02.335 [车载] 车辆常用制动。
2016-10-13_18:37:02.335 [车载] 车辆紧急制动。
2016-10-13_18:37:02.432 [车载] 车辆常用制动。
