2016-10-13_18:51:33.632 [软件] DMI自检完毕，准备启动。
2016-10-13_18:51:33.633 [车载] 车辆紧急制动。
2016-10-13_18:51:33.734 [车载] 车辆常用制动。
2016-10-13_18:51:33.734 [车载] 车辆紧急制动。
2016-10-13_18:51:33.935 [车载] 车辆常用制动。
2016-10-13_18:51:33.935 [车载] 车辆紧急制动。
2016-10-13_18:51:34.035 [车载] 车辆常用制动。
2016-10-13_18:51:34.035 [车载] 车辆紧急制动。
2016-10-13_18:51:34.132 [车载] 车辆常用制动。
2016-10-13_18:51:34.132 [车载] 车辆紧急制动。
2016-10-13_18:51:34.236 [车载] 车辆常用制动。
2016-10-13_18:51:34.236 [车载] 车辆紧急制动。
2016-10-13_18:51:34.345 [车载] 车辆常用制动。
2016-10-13_18:51:34.345 [车载] 车辆紧急制动。
2016-10-13_18:51:34.431 [车载] 车辆常用制动。
2016-10-13_18:51:34.431 [车载] 车辆紧急制动。
2016-10-13_18:51:34.540 [车载] 车辆常用制动。
2016-10-13_18:51:34.540 [车载] 车辆紧急制动。
2016-10-13_18:51:34.732 [车载] 车辆常用制动。
2016-10-13_18:51:34.732 [车载] 车辆紧急制动。
2016-10-13_18:51:34.936 [车载] 车辆常用制动。
2016-10-13_18:51:34.936 [车载] 车辆紧急制动。
2016-10-13_18:51:35.032 [车载] 车辆常用制动。
2016-10-13_18:51:35.032 [车载] 车辆紧急制动。
2016-10-13_18:51:35.136 [车载] 车辆常用制动。
2016-10-13_18:51:35.136 [车载] 车辆紧急制动。
2016-10-13_18:51:35.234 [车载] 车辆常用制动。
2016-10-13_18:51:35.234 [车载] 车辆紧急制动。
2016-10-13_18:51:35.332 [车载] 车辆常用制动。
2016-10-13_18:51:35.332 [车载] 车辆紧急制动。
2016-10-13_18:51:35.433 [车载] 车辆常用制动。
2016-10-13_18:51:35.433 [车载] 车辆紧急制动。
2016-10-13_18:51:35.533 [车载] 车辆常用制动。
2016-10-13_18:51:35.533 [车载] 车辆紧急制动。
2016-10-13_18:51:35.631 [车载] 车辆常用制动。
2016-10-13_18:51:35.631 [车载] 车辆紧急制动。
2016-10-13_18:51:35.736 [车载] 车辆常用制动。
2016-10-13_18:51:35.736 [车载] 车辆紧急制动。
2016-10-13_18:51:35.833 [车载] 车辆常用制动。
2016-10-13_18:51:35.833 [车载] 车辆紧急制动。
2016-10-13_18:51:35.935 [车载] 车辆常用制动。
2016-10-13_18:51:35.935 [车载] 车辆紧急制动。
2016-10-13_18:51:36.033 [车载] 车辆常用制动。
2016-10-13_18:51:36.033 [车载] 车辆紧急制动。
2016-10-13_18:51:36.131 [车载] 车辆常用制动。
2016-10-13_18:51:36.131 [车载] 车辆紧急制动。
2016-10-13_18:51:36.331 [车载] 车辆常用制动。
2016-10-13_18:51:36.331 [车载] 车辆紧急制动。
2016-10-13_18:51:36.431 [车载] 车辆常用制动。
2016-10-13_18:51:36.431 [车载] 车辆紧急制动。
2016-10-13_18:51:36.532 [车载] 车辆常用制动。
2016-10-13_18:51:36.532 [车载] 车辆紧急制动。
2016-10-13_18:51:36.734 [车载] 车辆常用制动。
2016-10-13_18:51:36.734 [车载] 车辆紧急制动。
2016-10-13_18:51:36.831 [车载] 车辆常用制动。
2016-10-13_18:51:36.831 [车载] 车辆紧急制动。
2016-10-13_18:51:36.931 [车载] 车辆常用制动。
2016-10-13_18:51:36.931 [车载] 车辆紧急制动。
2016-10-13_18:51:37.035 [车载] 车辆常用制动。
2016-10-13_18:51:37.035 [车载] 车辆紧急制动。
2016-10-13_18:51:37.133 [车载] 车辆常用制动。
2016-10-13_18:51:37.133 [车载] 车辆紧急制动。
2016-10-13_18:51:37.238 [车载] 车辆常用制动。
2016-10-13_18:51:37.238 [车载] 车辆紧急制动。
2016-10-13_18:51:37.335 [车载] 车辆常用制动。
2016-10-13_18:51:37.335 [车载] 车辆紧急制动。
2016-10-13_18:51:37.434 [车载] 车辆常用制动。
2016-10-13_18:51:37.434 [车载] 车辆紧急制动。
2016-10-13_18:51:37.532 [车载] 车辆常用制动。
2016-10-13_18:51:37.532 [车载] 车辆紧急制动。
2016-10-13_18:51:37.636 [车载] 车辆常用制动。
2016-10-13_18:51:37.636 [车载] 车辆紧急制动。
2016-10-13_18:51:37.737 [车载] 车辆常用制动。
2016-10-13_18:51:37.737 [车载] 车辆紧急制动。
2016-10-13_18:51:37.832 [车载] 车辆常用制动。
2016-10-13_18:51:37.832 [车载] 车辆紧急制动。
2016-10-13_18:51:37.933 [车载] 车辆常用制动。
2016-10-13_18:51:37.933 [车载] 车辆紧急制动。
2016-10-13_18:51:38.034 [车载] 车辆常用制动。
2016-10-13_18:51:38.034 [车载] 车辆紧急制动。
2016-10-13_18:51:38.136 [车载] 车辆常用制动。
2016-10-13_18:51:38.136 [车载] 车辆紧急制动。
2016-10-13_18:51:38.236 [车载] 车辆常用制动。
2016-10-13_18:51:38.236 [车载] 车辆紧急制动。
2016-10-13_18:51:38.346 [车载] 车辆常用制动。
2016-10-13_18:51:38.346 [车载] 车辆紧急制动。
2016-10-13_18:51:38.432 [车载] 车辆常用制动。
2016-10-13_18:51:38.432 [车载] 车辆紧急制动。
2016-10-13_18:51:38.533 [车载] 车辆常用制动。
2016-10-13_18:51:38.533 [车载] 车辆紧急制动。
2016-10-13_18:51:38.637 [车载] 车辆常用制动。
2016-10-13_18:51:38.637 [车载] 车辆紧急制动。
2016-10-13_18:51:38.834 [车载] 车辆常用制动。
2016-10-13_18:51:38.834 [车载] 车辆紧急制动。
2016-10-13_18:51:38.933 [车载] 车辆常用制动。
2016-10-13_18:51:38.933 [车载] 车辆紧急制动。
2016-10-13_18:51:39.033 [车载] 车辆常用制动。
2016-10-13_18:51:39.033 [车载] 车辆紧急制动。
2016-10-13_18:51:39.131 [车载] 车辆常用制动。
2016-10-13_18:51:39.131 [车载] 车辆紧急制动。
2016-10-13_18:51:39.333 [车载] 车辆常用制动。
2016-10-13_18:51:39.335 [车载] 车辆紧急制动。
2016-10-13_18:51:39.431 [车载] 车辆常用制动。
2016-10-13_18:51:39.431 [车载] 车辆紧急制动。
2016-10-13_18:51:39.532 [车载] 车辆常用制动。
2016-10-13_18:51:39.532 [车载] 车辆紧急制动。
2016-10-13_18:51:39.633 [车载] 车辆常用制动。
2016-10-13_18:51:39.633 [车载] 车辆紧急制动。
2016-10-13_18:51:39.733 [车载] 车辆常用制动。
2016-10-13_18:51:39.733 [车载] 车辆紧急制动。
2016-10-13_18:51:39.835 [车载] 车辆常用制动。
2016-10-13_18:51:39.835 [车载] 车辆紧急制动。
2016-10-13_18:51:39.936 [车载] 车辆常用制动。
2016-10-13_18:51:39.936 [车载] 车辆紧急制动。
2016-10-13_18:51:40.032 [车载] 车辆常用制动。
2016-10-13_18:51:40.032 [车载] 车辆紧急制动。
2016-10-13_18:51:40.149 [车载] 车辆常用制动。
2016-10-13_18:51:40.149 [车载] 车辆紧急制动。
2016-10-13_18:51:40.232 [车载] 车辆常用制动。
2016-10-13_18:51:40.232 [车载] 车辆紧急制动。
2016-10-13_18:51:40.338 [车载] 车辆常用制动。
2016-10-13_18:51:40.338 [车载] 车辆紧急制动。
2016-10-13_18:51:40.433 [车载] 车辆常用制动。
2016-10-13_18:51:40.433 [车载] 车辆紧急制动。
2016-10-13_18:51:40.532 [车载] 车辆常用制动。
2016-10-13_18:51:40.532 [车载] 车辆紧急制动。
2016-10-13_18:51:40.635 [车载] 车辆常用制动。
2016-10-13_18:51:40.635 [车载] 车辆紧急制动。
2016-10-13_18:51:40.732 [车载] 车辆常用制动。
2016-10-13_18:51:40.732 [车载] 车辆紧急制动。
2016-10-13_18:51:40.940 [车载] 车辆常用制动。
2016-10-13_18:51:40.940 [车载] 车辆紧急制动。
2016-10-13_18:51:41.035 [车载] 车辆常用制动。
2016-10-13_18:51:41.035 [车载] 车辆紧急制动。
2016-10-13_18:51:41.131 [车载] 车辆常用制动。
2016-10-13_18:51:41.131 [车载] 车辆紧急制动。
2016-10-13_18:51:41.233 [车载] 车辆常用制动。
2016-10-13_18:51:41.233 [车载] 车辆紧急制动。
2016-10-13_18:51:41.332 [车载] 车辆常用制动。
2016-10-13_18:51:41.332 [车载] 车辆紧急制动。
2016-10-13_18:51:41.431 [车载] 车辆常用制动。
2016-10-13_18:51:41.431 [车载] 车辆紧急制动。
