2016-10-13_18:16:21.330 [软件] DMI自检完毕，准备启动。
2016-10-13_18:16:21.331 [车载] 当前超速。
2016-10-13_18:16:21.432 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.432 [车载] 当前超速。
2016-10-13_18:16:21.535 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.535 [车载] 当前超速。
2016-10-13_18:16:21.637 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.637 [车载] 当前超速。
2016-10-13_18:16:21.732 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.732 [车载] 当前超速。
2016-10-13_18:16:21.832 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.832 [车载] 当前超速。
2016-10-13_18:16:21.938 [车载] 前方限速11公里每小时。
2016-10-13_18:16:21.938 [车载] 当前超速。
2016-10-13_18:16:22.035 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.035 [车载] 当前超速。
2016-10-13_18:16:22.133 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.133 [车载] 当前超速。
2016-10-13_18:16:22.232 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.232 [车载] 当前超速。
2016-10-13_18:16:22.352 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.352 [车载] 当前超速。
2016-10-13_18:16:22.432 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.432 [车载] 当前超速。
2016-10-13_18:16:22.638 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.638 [车载] 当前超速。
2016-10-13_18:16:22.732 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.732 [车载] 当前超速。
2016-10-13_18:16:22.837 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.837 [车载] 当前超速。
2016-10-13_18:16:22.936 [车载] 前方限速11公里每小时。
2016-10-13_18:16:22.936 [车载] 当前超速。
2016-10-13_18:16:23.034 [车载] 前方限速11公里每小时。
2016-10-13_18:16:23.034 [车载] 当前超速。
2016-10-13_18:16:23.137 [车载] 前方限速11公里每小时。
2016-10-13_18:16:23.137 [车载] 当前超速。
2016-10-13_18:16:23.233 [车载] 前方限速11公里每小时。
2016-10-13_18:16:23.233 [车载] 当前超速。
