2016-10-13_18:38:45.966 [软件] DMI自检完毕，准备启动。
2016-10-13_18:38:45.966 [车载] 车辆紧急制动。
2016-10-13_18:38:46.055 [车载] 车辆常用制动。
2016-10-13_18:38:46.055 [车载] 车辆紧急制动。
2016-10-13_18:38:46.153 [车载] 车辆常用制动。
2016-10-13_18:38:46.153 [车载] 车辆紧急制动。
2016-10-13_18:38:46.246 [车载] 车辆常用制动。
2016-10-13_18:38:46.246 [车载] 车辆紧急制动。
2016-10-13_18:38:46.342 [车载] 车辆常用制动。
2016-10-13_18:38:46.342 [车载] 车辆紧急制动。
2016-10-13_18:38:46.439 [车载] 车辆常用制动。
2016-10-13_18:38:46.439 [车载] 车辆紧急制动。
2016-10-13_18:38:46.633 [车载] 车辆常用制动。
2016-10-13_18:38:46.633 [车载] 车辆紧急制动。
2016-10-13_18:38:46.740 [车载] 车辆常用制动。
2016-10-13_18:38:46.740 [车载] 车辆紧急制动。
2016-10-13_18:38:46.832 [车载] 车辆常用制动。
2016-10-13_18:38:46.832 [车载] 车辆紧急制动。
2016-10-13_18:38:46.931 [车载] 车辆常用制动。
2016-10-13_18:38:46.931 [车载] 车辆紧急制动。
2016-10-13_18:38:47.033 [车载] 车辆常用制动。
2016-10-13_18:38:47.033 [车载] 车辆紧急制动。
2016-10-13_18:38:47.133 [车载] 车辆常用制动。
2016-10-13_18:38:47.133 [车载] 车辆紧急制动。
2016-10-13_18:38:47.233 [车载] 车辆常用制动。
2016-10-13_18:38:47.233 [车载] 车辆紧急制动。
2016-10-13_18:38:47.334 [车载] 车辆常用制动。
2016-10-13_18:38:47.334 [车载] 车辆紧急制动。
2016-10-13_18:38:47.533 [车载] 车辆常用制动。
2016-10-13_18:38:47.533 [车载] 车辆紧急制动。
2016-10-13_18:38:47.637 [车载] 车辆常用制动。
2016-10-13_18:38:47.637 [车载] 车辆紧急制动。
2016-10-13_18:38:47.733 [车载] 车辆常用制动。
2016-10-13_18:38:47.733 [车载] 车辆紧急制动。
2016-10-13_18:38:47.838 [车载] 车辆常用制动。
2016-10-13_18:38:47.838 [车载] 车辆紧急制动。
2016-10-13_18:38:47.943 [车载] 车辆常用制动。
2016-10-13_18:38:47.943 [车载] 车辆紧急制动。
2016-10-13_18:38:48.038 [车载] 车辆常用制动。
2016-10-13_18:38:48.038 [车载] 车辆紧急制动。
2016-10-13_18:38:48.236 [车载] 车辆常用制动。
2016-10-13_18:38:48.236 [车载] 车辆紧急制动。
2016-10-13_18:38:48.350 [车载] 车辆常用制动。
2016-10-13_18:38:48.350 [车载] 车辆紧急制动。
2016-10-13_18:38:48.531 [车载] 车辆常用制动。
2016-10-13_18:38:48.531 [车载] 车辆紧急制动。
2016-10-13_18:38:48.634 [车载] 车辆常用制动。
2016-10-13_18:38:48.634 [车载] 车辆紧急制动。
2016-10-13_18:38:48.740 [车载] 车辆常用制动。
2016-10-13_18:38:48.740 [车载] 车辆紧急制动。
2016-10-13_18:38:48.934 [车载] 车辆常用制动。
2016-10-13_18:38:48.934 [车载] 车辆紧急制动。
2016-10-13_18:38:49.031 [车载] 车辆常用制动。
2016-10-13_18:38:49.031 [车载] 车辆紧急制动。
2016-10-13_18:38:49.132 [车载] 车辆常用制动。
2016-10-13_18:38:49.132 [车载] 车辆紧急制动。
2016-10-13_18:38:49.233 [车载] 车辆常用制动。
2016-10-13_18:38:49.233 [车载] 车辆紧急制动。
2016-10-13_18:38:49.333 [车载] 车辆常用制动。
2016-10-13_18:38:49.333 [车载] 车辆紧急制动。
2016-10-13_18:38:49.440 [车载] 车辆常用制动。
2016-10-13_18:38:49.440 [车载] 车辆紧急制动。
2016-10-13_18:38:49.534 [车载] 车辆常用制动。
2016-10-13_18:38:49.534 [车载] 车辆紧急制动。
2016-10-13_18:38:49.635 [车载] 车辆常用制动。
2016-10-13_18:38:49.635 [车载] 车辆紧急制动。
2016-10-13_18:38:49.737 [车载] 车辆常用制动。
2016-10-13_18:38:49.737 [车载] 车辆紧急制动。
2016-10-13_18:38:49.833 [车载] 车辆常用制动。
2016-10-13_18:38:49.833 [车载] 车辆紧急制动。
2016-10-13_18:38:49.931 [车载] 车辆常用制动。
2016-10-13_18:38:49.931 [车载] 车辆紧急制动。
2016-10-13_18:38:50.031 [车载] 车辆常用制动。
2016-10-13_18:38:50.031 [车载] 车辆紧急制动。
2016-10-13_18:38:50.233 [车载] 车辆常用制动。
2016-10-13_18:38:50.233 [车载] 车辆紧急制动。
2016-10-13_18:38:50.335 [车载] 车辆常用制动。
2016-10-13_18:38:50.335 [车载] 车辆紧急制动。
2016-10-13_18:38:50.433 [车载] 车辆常用制动。
2016-10-13_18:38:50.433 [车载] 车辆紧急制动。
2016-10-13_18:38:50.535 [车载] 车辆常用制动。
2016-10-13_18:38:50.535 [车载] 车辆紧急制动。
2016-10-13_18:38:50.635 [车载] 车辆常用制动。
2016-10-13_18:38:50.636 [车载] 车辆紧急制动。
2016-10-13_18:38:50.738 [车载] 车辆常用制动。
2016-10-13_18:38:50.738 [车载] 车辆紧急制动。
2016-10-13_18:38:50.887 [车载] 车辆常用制动。
2016-10-13_18:38:50.887 [车载] 车辆紧急制动。
2016-10-13_18:38:51.032 [车载] 车辆常用制动。
2016-10-13_18:38:51.032 [车载] 车辆紧急制动。
2016-10-13_18:38:51.132 [车载] 车辆常用制动。
2016-10-13_18:38:51.132 [车载] 车辆紧急制动。
2016-10-13_18:38:51.232 [车载] 车辆常用制动。
2016-10-13_18:38:51.232 [车载] 车辆紧急制动。
2016-10-13_18:38:51.334 [车载] 车辆常用制动。
2016-10-13_18:38:51.334 [车载] 车辆紧急制动。
2016-10-13_18:38:51.532 [车载] 车辆常用制动。
2016-10-13_18:38:51.532 [车载] 车辆紧急制动。
2016-10-13_18:38:51.634 [车载] 车辆常用制动。
2016-10-13_18:38:51.634 [车载] 车辆紧急制动。
2016-10-13_18:38:51.732 [车载] 车辆常用制动。
2016-10-13_18:38:51.732 [车载] 车辆紧急制动。
2016-10-13_18:38:51.832 [车载] 车辆常用制动。
2016-10-13_18:38:51.832 [车载] 车辆紧急制动。
2016-10-13_18:38:51.932 [车载] 车辆常用制动。
2016-10-13_18:38:51.932 [车载] 车辆紧急制动。
2016-10-13_18:38:52.033 [车载] 车辆常用制动。
2016-10-13_18:38:52.033 [车载] 车辆紧急制动。
2016-10-13_18:38:52.146 [车载] 车辆常用制动。
2016-10-13_18:38:52.146 [车载] 车辆紧急制动。
2016-10-13_18:38:52.233 [车载] 车辆常用制动。
2016-10-13_18:38:52.233 [车载] 车辆紧急制动。
2016-10-13_18:38:52.331 [车载] 车辆常用制动。
2016-10-13_18:38:52.331 [车载] 车辆紧急制动。
2016-10-13_18:38:52.434 [车载] 车辆常用制动。
2016-10-13_18:38:52.434 [车载] 车辆紧急制动。
2016-10-13_18:38:52.553 [车载] 车辆常用制动。
2016-10-13_18:38:52.553 [车载] 车辆紧急制动。
2016-10-13_18:38:52.733 [车载] 车辆常用制动。
2016-10-13_18:38:52.733 [车载] 车辆紧急制动。
2016-10-13_18:38:52.854 [车载] 车辆常用制动。
2016-10-13_18:38:52.854 [车载] 车辆紧急制动。
2016-10-13_18:38:52.933 [车载] 车辆常用制动。
2016-10-13_18:38:52.933 [车载] 车辆紧急制动。
2016-10-13_18:38:53.036 [车载] 车辆常用制动。
2016-10-13_18:38:53.036 [车载] 车辆紧急制动。
2016-10-13_18:38:53.131 [车载] 车辆常用制动。
2016-10-13_18:38:53.131 [车载] 车辆紧急制动。
2016-10-13_18:38:53.233 [车载] 车辆常用制动。
2016-10-13_18:38:53.233 [车载] 车辆紧急制动。
2016-10-13_18:38:53.335 [车载] 车辆常用制动。
2016-10-13_18:38:53.335 [车载] 车辆紧急制动。
2016-10-13_18:38:53.537 [车载] 车辆常用制动。
2016-10-13_18:38:53.538 [车载] 车辆紧急制动。
2016-10-13_18:38:53.633 [车载] 车辆常用制动。
2016-10-13_18:38:53.633 [车载] 车辆紧急制动。
2016-10-13_18:38:53.844 [车载] 车辆常用制动。
2016-10-13_18:38:53.844 [车载] 车辆紧急制动。
2016-10-13_18:38:53.936 [车载] 车辆常用制动。
2016-10-13_18:38:53.936 [车载] 车辆紧急制动。
2016-10-13_18:38:54.037 [车载] 车辆常用制动。
2016-10-13_18:38:54.037 [车载] 车辆紧急制动。
2016-10-13_18:38:54.131 [车载] 车辆常用制动。
2016-10-13_18:38:54.131 [车载] 车辆紧急制动。
2016-10-13_18:38:54.332 [车载] 车辆常用制动。
2016-10-13_18:38:54.332 [车载] 车辆紧急制动。
2016-10-13_18:38:54.535 [车载] 车辆常用制动。
2016-10-13_18:38:54.536 [车载] 车辆紧急制动。
2016-10-13_18:38:54.633 [车载] 车辆常用制动。
2016-10-13_18:38:54.633 [车载] 车辆紧急制动。
2016-10-13_18:38:54.735 [车载] 车辆常用制动。
2016-10-13_18:38:54.735 [车载] 车辆紧急制动。
2016-10-13_18:38:54.838 [车载] 车辆常用制动。
2016-10-13_18:38:54.838 [车载] 车辆紧急制动。
2016-10-13_18:38:54.932 [车载] 车辆常用制动。
2016-10-13_18:38:54.932 [车载] 车辆紧急制动。
2016-10-13_18:38:55.032 [车载] 车辆常用制动。
2016-10-13_18:38:55.032 [车载] 车辆紧急制动。
2016-10-13_18:38:55.131 [车载] 车辆常用制动。
2016-10-13_18:38:55.131 [车载] 车辆紧急制动。
2016-10-13_18:38:55.332 [车载] 车辆常用制动。
2016-10-13_18:38:55.332 [车载] 车辆紧急制动。
2016-10-13_18:38:55.436 [车载] 车辆常用制动。
2016-10-13_18:38:55.436 [车载] 车辆紧急制动。
2016-10-13_18:38:55.537 [车载] 车辆常用制动。
2016-10-13_18:38:55.537 [车载] 车辆紧急制动。
2016-10-13_18:38:55.632 [车载] 车辆常用制动。
2016-10-13_18:38:55.632 [车载] 车辆紧急制动。
2016-10-13_18:38:55.836 [车载] 车辆常用制动。
2016-10-13_18:38:55.836 [车载] 车辆紧急制动。
2016-10-13_18:38:55.935 [车载] 车辆常用制动。
2016-10-13_18:38:55.935 [车载] 车辆紧急制动。
2016-10-13_18:38:56.034 [车载] 车辆常用制动。
2016-10-13_18:38:56.034 [车载] 车辆紧急制动。
2016-10-13_18:38:56.133 [车载] 车辆常用制动。
2016-10-13_18:38:56.133 [车载] 车辆紧急制动。
2016-10-13_18:38:56.232 [车载] 车辆常用制动。
2016-10-13_18:38:56.232 [车载] 车辆紧急制动。
2016-10-13_18:38:56.436 [车载] 车辆常用制动。
2016-10-13_18:38:56.436 [车载] 车辆紧急制动。
2016-10-13_18:38:56.536 [车载] 车辆常用制动。
2016-10-13_18:38:56.536 [车载] 车辆紧急制动。
2016-10-13_18:38:56.635 [车载] 车辆常用制动。
2016-10-13_18:38:56.635 [车载] 车辆紧急制动。
2016-10-13_18:38:56.732 [车载] 车辆常用制动。
2016-10-13_18:38:56.732 [车载] 车辆紧急制动。
2016-10-13_18:38:56.833 [车载] 车辆常用制动。
2016-10-13_18:38:56.833 [车载] 车辆紧急制动。
2016-10-13_18:38:56.934 [车载] 车辆常用制动。
2016-10-13_18:38:56.934 [车载] 车辆紧急制动。
2016-10-13_18:38:57.036 [车载] 车辆常用制动。
2016-10-13_18:38:57.036 [车载] 车辆紧急制动。
2016-10-13_18:38:57.232 [车载] 车辆常用制动。
2016-10-13_18:38:57.232 [车载] 车辆紧急制动。
2016-10-13_18:38:57.332 [车载] 车辆常用制动。
2016-10-13_18:38:57.332 [车载] 车辆紧急制动。
2016-10-13_18:38:57.534 [车载] 车辆常用制动。
2016-10-13_18:38:57.534 [车载] 车辆紧急制动。
2016-10-13_18:38:57.639 [车载] 车辆常用制动。
2016-10-13_18:38:57.639 [车载] 车辆紧急制动。
2016-10-13_18:38:57.835 [车载] 车辆常用制动。
2016-10-13_18:38:57.836 [车载] 车辆紧急制动。
2016-10-13_18:38:57.935 [车载] 车辆常用制动。
2016-10-13_18:38:57.936 [车载] 车辆紧急制动。
2016-10-13_18:38:58.033 [车载] 车辆常用制动。
2016-10-13_18:38:58.033 [车载] 车辆紧急制动。
2016-10-13_18:38:58.132 [车载] 车辆常用制动。
2016-10-13_18:38:58.132 [车载] 车辆紧急制动。
2016-10-13_18:38:58.232 [车载] 车辆常用制动。
2016-10-13_18:38:58.232 [车载] 车辆紧急制动。
2016-10-13_18:38:58.332 [车载] 车辆常用制动。
2016-10-13_18:38:58.332 [车载] 车辆紧急制动。
2016-10-13_18:38:58.432 [车载] 车辆常用制动。
2016-10-13_18:38:58.432 [车载] 车辆紧急制动。
2016-10-13_18:38:58.532 [车载] 车辆常用制动。
2016-10-13_18:38:58.532 [车载] 车辆紧急制动。
2016-10-13_18:38:58.634 [车载] 车辆常用制动。
2016-10-13_18:38:58.634 [车载] 车辆紧急制动。
2016-10-13_18:38:58.835 [车载] 车辆常用制动。
2016-10-13_18:38:58.835 [车载] 车辆紧急制动。
2016-10-13_18:38:58.935 [车载] 车辆常用制动。
2016-10-13_18:38:58.935 [车载] 车辆紧急制动。
2016-10-13_18:38:59.036 [车载] 车辆常用制动。
2016-10-13_18:38:59.036 [车载] 车辆紧急制动。
2016-10-13_18:38:59.138 [车载] 车辆常用制动。
2016-10-13_18:38:59.138 [车载] 车辆紧急制动。
2016-10-13_18:38:59.231 [车载] 车辆常用制动。
2016-10-13_18:38:59.231 [车载] 车辆紧急制动。
2016-10-13_18:38:59.432 [车载] 车辆常用制动。
2016-10-13_18:38:59.432 [车载] 车辆紧急制动。
2016-10-13_18:38:59.531 [车载] 车辆常用制动。
2016-10-13_18:38:59.531 [车载] 车辆紧急制动。
2016-10-13_18:38:59.631 [车载] 车辆常用制动。
2016-10-13_18:38:59.631 [车载] 车辆紧急制动。
2016-10-13_18:38:59.836 [车载] 车辆常用制动。
2016-10-13_18:38:59.836 [车载] 车辆紧急制动。
2016-10-13_18:38:59.936 [车载] 车辆常用制动。
2016-10-13_18:38:59.937 [车载] 车辆紧急制动。
2016-10-13_18:39:00.031 [车载] 车辆常用制动。
2016-10-13_18:39:00.031 [车载] 车辆紧急制动。
2016-10-13_18:39:00.131 [车载] 车辆常用制动。
2016-10-13_18:39:00.131 [车载] 车辆紧急制动。
2016-10-13_18:39:00.232 [车载] 车辆常用制动。
2016-10-13_18:39:00.232 [车载] 车辆紧急制动。
2016-10-13_18:39:00.334 [车载] 车辆常用制动。
2016-10-13_18:39:00.334 [车载] 车辆紧急制动。
2016-10-13_18:39:00.436 [车载] 车辆常用制动。
2016-10-13_18:39:00.436 [车载] 车辆紧急制动。
2016-10-13_18:39:00.536 [车载] 车辆常用制动。
2016-10-13_18:39:00.536 [车载] 车辆紧急制动。
2016-10-13_18:39:00.633 [车载] 车辆常用制动。
2016-10-13_18:39:00.633 [车载] 车辆紧急制动。
2016-10-13_18:39:00.743 [车载] 车辆常用制动。
2016-10-13_18:39:00.743 [车载] 车辆紧急制动。
2016-10-13_18:39:00.842 [车载] 车辆常用制动。
2016-10-13_18:39:00.842 [车载] 车辆紧急制动。
