2016-10-13_17:28:48.243 [软件] DMI自检完毕，准备启动。
2016-10-13_17:28:48.307 [车载] 通信断开
2016-10-13_17:28:48.308 [车载] 通信正常
2016-10-13_17:28:48.308 [车载] 当前超速。
2016-10-13_17:28:48.391 [车载] 前方限速10公里每小时。
2016-10-13_17:28:48.391 [车载] 车辆常用制动。
2016-10-13_17:28:48.391 [车载] 当前超速。
2016-10-13_17:28:48.544 [车载] 前方限速10公里每小时。
2016-10-13_17:28:48.544 [车载] 车辆常用制动。
2016-10-13_17:28:48.544 [车载] 当前超速。
2016-10-13_17:28:48.739 [车载] 前方限速10公里每小时。
2016-10-13_17:28:48.740 [车载] 车辆常用制动。
2016-10-13_17:28:48.740 [车载] 当前超速。
2016-10-13_17:28:48.836 [车载] 前方限速10公里每小时。
2016-10-13_17:28:48.836 [车载] 车辆常用制动。
2016-10-13_17:28:48.836 [车载] 当前超速。
2016-10-13_17:28:48.933 [车载] 前方限速10公里每小时。
2016-10-13_17:28:48.933 [车载] 车辆常用制动。
2016-10-13_17:28:48.933 [车载] 当前超速。
2016-10-13_17:28:49.036 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.036 [车载] 车辆常用制动。
2016-10-13_17:28:49.036 [车载] 当前超速。
2016-10-13_17:28:49.136 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.136 [车载] 车辆常用制动。
2016-10-13_17:28:49.136 [车载] 当前超速。
2016-10-13_17:28:49.331 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.332 [车载] 车辆常用制动。
2016-10-13_17:28:49.332 [车载] 当前超速。
2016-10-13_17:28:49.434 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.434 [车载] 车辆常用制动。
2016-10-13_17:28:49.434 [车载] 当前超速。
2016-10-13_17:28:49.536 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.537 [车载] 车辆常用制动。
2016-10-13_17:28:49.537 [车载] 当前超速。
2016-10-13_17:28:49.632 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.632 [车载] 车辆常用制动。
2016-10-13_17:28:49.632 [车载] 当前超速。
2016-10-13_17:28:49.739 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.762 [车载] 车辆常用制动。
2016-10-13_17:28:49.762 [车载] 当前超速。
2016-10-13_17:28:49.831 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.831 [车载] 车辆常用制动。
2016-10-13_17:28:49.831 [车载] 当前超速。
2016-10-13_17:28:49.939 [车载] 前方限速10公里每小时。
2016-10-13_17:28:49.940 [车载] 车辆常用制动。
2016-10-13_17:28:49.940 [车载] 当前超速。
2016-10-13_17:28:50.031 [车载] 前方限速10公里每小时。
2016-10-13_17:28:50.031 [车载] 车辆常用制动。
2016-10-13_17:28:50.032 [车载] 当前超速。
2016-10-13_17:28:50.240 [车载] 前方限速10公里每小时。
2016-10-13_17:28:50.241 [车载] 车辆常用制动。
2016-10-13_17:28:50.241 [车载] 当前超速。
2016-10-13_17:28:50.334 [车载] 前方限速10公里每小时。
2016-10-13_17:28:50.334 [车载] 车辆常用制动。
2016-10-13_17:28:50.334 [车载] 当前超速。
2016-10-13_17:28:50.434 [车载] 前方限速10公里每小时。
