2016-10-13_18:30:15.832 [软件] DMI自检完毕，准备启动。
2016-10-13_18:30:16.031 [车载] 车辆常用制动。
2016-10-13_18:30:16.031 [调度]  请查收来自调度的短消息，这是一条来自吴彬的问候！ 。
2016-10-13_18:30:16.232 [车载] 车辆常用制动。
2016-10-13_18:30:16.232 [车载] 车辆紧急制动。
2016-10-13_18:30:16.351 [车载] 车辆常用制动。
2016-10-13_18:30:16.356 [车载] 车辆紧急制动。
2016-10-13_18:30:16.432 [车载] 车辆常用制动。
2016-10-13_18:30:16.432 [车载] 车辆紧急制动。
2016-10-13_18:30:16.541 [车载] 车辆常用制动。
2016-10-13_18:30:16.541 [车载] 车辆紧急制动。
2016-10-13_18:30:16.631 [车载] 车辆常用制动。
2016-10-13_18:30:16.631 [车载] 车辆紧急制动。
2016-10-13_18:30:16.736 [车载] 车辆常用制动。
2016-10-13_18:30:16.736 [车载] 车辆紧急制动。
2016-10-13_18:30:16.832 [车载] 车辆常用制动。
2016-10-13_18:30:16.832 [车载] 车辆紧急制动。
2016-10-13_18:30:16.933 [车载] 车辆常用制动。
2016-10-13_18:30:16.933 [车载] 车辆紧急制动。
2016-10-13_18:30:17.035 [车载] 车辆常用制动。
2016-10-13_18:30:17.035 [车载] 车辆紧急制动。
2016-10-13_18:30:17.133 [车载] 车辆常用制动。
2016-10-13_18:30:17.133 [车载] 车辆紧急制动。
2016-10-13_18:30:17.233 [车载] 车辆常用制动。
2016-10-13_18:30:17.233 [车载] 车辆紧急制动。
2016-10-13_18:30:17.333 [车载] 车辆常用制动。
2016-10-13_18:30:17.333 [车载] 车辆紧急制动。
2016-10-13_18:30:17.433 [车载] 车辆常用制动。
2016-10-13_18:30:17.433 [车载] 车辆紧急制动。
2016-10-13_18:30:17.534 [车载] 车辆常用制动。
2016-10-13_18:30:17.534 [车载] 车辆紧急制动。
2016-10-13_18:30:17.634 [车载] 车辆常用制动。
2016-10-13_18:30:17.634 [车载] 车辆紧急制动。
2016-10-13_18:30:17.836 [车载] 车辆常用制动。
2016-10-13_18:30:17.836 [车载] 车辆紧急制动。
2016-10-13_18:30:17.934 [车载] 车辆常用制动。
