2016-10-13_17:57:01.857 [软件] DMI自检完毕，准备启动。
2016-10-13_17:57:01.857 [车载] 当前超速。
2016-10-13_17:57:01.857 [车载] 前方限速11公里每小时。
2016-10-13_17:57:01.857 [车载] 车辆紧急制动。
2016-10-13_17:57:01.943 [车载] 车辆常用制动。
2016-10-13_17:57:01.943 [车载] 当前超速。
2016-10-13_17:57:01.943 [车载] 前方限速11公里每小时。
2016-10-13_17:57:01.943 [车载] 车辆紧急制动。
2016-10-13_17:57:02.040 [车载] 车辆常用制动。
2016-10-13_17:57:02.040 [车载] 当前超速。
2016-10-13_17:57:02.040 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.040 [车载] 车辆紧急制动。
2016-10-13_17:57:02.145 [车载] 车辆常用制动。
2016-10-13_17:57:02.145 [车载] 当前超速。
2016-10-13_17:57:02.145 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.145 [车载] 车辆紧急制动。
2016-10-13_17:57:02.335 [车载] 车辆常用制动。
2016-10-13_17:57:02.335 [车载] 当前超速。
2016-10-13_17:57:02.335 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.335 [车载] 车辆紧急制动。
2016-10-13_17:57:02.438 [车载] 车辆常用制动。
2016-10-13_17:57:02.438 [车载] 当前超速。
2016-10-13_17:57:02.439 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.439 [车载] 车辆紧急制动。
2016-10-13_17:57:02.637 [车载] 车辆常用制动。
2016-10-13_17:57:02.637 [车载] 当前超速。
2016-10-13_17:57:02.637 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.637 [车载] 车辆紧急制动。
2016-10-13_17:57:02.743 [车载] 车辆常用制动。
2016-10-13_17:57:02.743 [车载] 当前超速。
2016-10-13_17:57:02.743 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.743 [车载] 车辆紧急制动。
2016-10-13_17:57:02.833 [车载] 车辆常用制动。
2016-10-13_17:57:02.833 [车载] 当前超速。
2016-10-13_17:57:02.833 [车载] 前方限速11公里每小时。
2016-10-13_17:57:02.833 [车载] 车辆紧急制动。
2016-10-13_17:57:03.035 [车载] 车辆常用制动。
2016-10-13_17:57:03.035 [车载] 当前超速。
2016-10-13_17:57:03.035 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.035 [车载] 车辆紧急制动。
2016-10-13_17:57:03.133 [车载] 车辆常用制动。
2016-10-13_17:57:03.133 [车载] 当前超速。
2016-10-13_17:57:03.133 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.133 [车载] 车辆紧急制动。
2016-10-13_17:57:03.233 [车载] 车辆常用制动。
2016-10-13_17:57:03.233 [车载] 当前超速。
2016-10-13_17:57:03.233 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.233 [车载] 车辆紧急制动。
2016-10-13_17:57:03.332 [车载] 车辆常用制动。
2016-10-13_17:57:03.332 [车载] 当前超速。
2016-10-13_17:57:03.332 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.332 [车载] 车辆紧急制动。
2016-10-13_17:57:03.433 [车载] 车辆常用制动。
2016-10-13_17:57:03.433 [车载] 当前超速。
2016-10-13_17:57:03.433 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.434 [车载] 车辆紧急制动。
2016-10-13_17:57:03.533 [车载] 车辆常用制动。
2016-10-13_17:57:03.533 [车载] 当前超速。
2016-10-13_17:57:03.533 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.533 [车载] 车辆紧急制动。
2016-10-13_17:57:03.650 [车载] 车辆常用制动。
2016-10-13_17:57:03.650 [车载] 当前超速。
2016-10-13_17:57:03.650 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.650 [车载] 车辆紧急制动。
2016-10-13_17:57:03.832 [车载] 车辆常用制动。
2016-10-13_17:57:03.832 [车载] 当前超速。
2016-10-13_17:57:03.832 [车载] 前方限速11公里每小时。
2016-10-13_17:57:03.832 [车载] 车辆紧急制动。
2016-10-13_17:57:04.033 [车载] 车辆常用制动。
2016-10-13_17:57:04.033 [车载] 当前超速。
2016-10-13_17:57:04.033 [车载] 前方限速11公里每小时。
2016-10-13_17:57:04.033 [车载] 车辆紧急制动。
2016-10-13_17:57:04.138 [车载] 车辆常用制动。
2016-10-13_17:57:04.138 [车载] 当前超速。
2016-10-13_17:57:04.138 [车载] 前方限速11公里每小时。
2016-10-13_17:57:04.138 [车载] 车辆紧急制动。
2016-10-13_17:57:04.234 [车载] 车辆常用制动。
2016-10-13_17:57:04.234 [车载] 当前超速。
