2016-10-13_17:27:52.975 [软件] DMI自检完毕，准备启动。
2016-10-13_17:27:52.975 [车载] 当前超速。
2016-10-13_17:27:53.071 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.071 [车载] 车辆常用制动。
2016-10-13_17:27:53.071 [车载] 当前超速。
2016-10-13_17:27:53.167 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.167 [车载] 车辆常用制动。
2016-10-13_17:27:53.167 [车载] 当前超速。
2016-10-13_17:27:53.258 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.258 [车载] 车辆常用制动。
2016-10-13_17:27:53.258 [车载] 当前超速。
2016-10-13_17:27:53.358 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.359 [车载] 车辆常用制动。
2016-10-13_17:27:53.359 [车载] 当前超速。
2016-10-13_17:27:53.451 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.451 [车载] 车辆常用制动。
2016-10-13_17:27:53.451 [车载] 当前超速。
2016-10-13_17:27:53.547 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.547 [车载] 车辆常用制动。
2016-10-13_17:27:53.547 [车载] 当前超速。
2016-10-13_17:27:53.642 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.642 [车载] 车辆常用制动。
2016-10-13_17:27:53.642 [车载] 当前超速。
2016-10-13_17:27:53.834 [车载] 前方限速10公里每小时。
2016-10-13_17:27:53.834 [车载] 车辆常用制动。
2016-10-13_17:27:53.834 [车载] 当前超速。
2016-10-13_17:27:54.015 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.015 [车载] 车辆常用制动。
2016-10-13_17:27:54.015 [车载] 当前超速。
2016-10-13_17:27:54.342 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.342 [车载] 车辆常用制动。
2016-10-13_17:27:54.342 [车载] 当前超速。
2016-10-13_17:27:54.391 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.391 [车载] 车辆常用制动。
2016-10-13_17:27:54.391 [车载] 当前超速。
2016-10-13_17:27:54.579 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.579 [车载] 车辆常用制动。
2016-10-13_17:27:54.579 [车载] 当前超速。
2016-10-13_17:27:54.690 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.691 [车载] 车辆常用制动。
2016-10-13_17:27:54.691 [车载] 当前超速。
2016-10-13_17:27:54.704 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.704 [车载] 车辆常用制动。
2016-10-13_17:27:54.704 [车载] 当前超速。
2016-10-13_17:27:54.873 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.873 [车载] 车辆常用制动。
2016-10-13_17:27:54.873 [车载] 当前超速。
2016-10-13_17:27:54.987 [车载] 前方限速10公里每小时。
2016-10-13_17:27:54.987 [车载] 车辆常用制动。
2016-10-13_17:27:54.987 [车载] 当前超速。
2016-10-13_17:27:55.122 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.122 [车载] 车辆常用制动。
2016-10-13_17:27:55.122 [车载] 当前超速。
2016-10-13_17:27:55.226 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.226 [车载] 车辆常用制动。
2016-10-13_17:27:55.226 [车载] 当前超速。
2016-10-13_17:27:55.333 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.334 [车载] 车辆常用制动。
2016-10-13_17:27:55.334 [车载] 当前超速。
2016-10-13_17:27:55.438 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.438 [车载] 车辆常用制动。
2016-10-13_17:27:55.438 [车载] 当前超速。
2016-10-13_17:27:55.635 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.635 [车载] 车辆常用制动。
2016-10-13_17:27:55.635 [车载] 当前超速。
2016-10-13_17:27:55.741 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.741 [车载] 车辆常用制动。
2016-10-13_17:27:55.741 [车载] 当前超速。
2016-10-13_17:27:55.836 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.836 [车载] 车辆常用制动。
2016-10-13_17:27:55.836 [车载] 当前超速。
2016-10-13_17:27:55.937 [车载] 前方限速10公里每小时。
2016-10-13_17:27:55.937 [车载] 车辆常用制动。
2016-10-13_17:27:55.937 [车载] 当前超速。
2016-10-13_17:27:56.032 [车载] 前方限速10公里每小时。
2016-10-13_17:27:56.032 [车载] 车辆常用制动。
2016-10-13_17:27:56.032 [车载] 当前超速。
2016-10-13_17:27:56.136 [车载] 前方限速10公里每小时。
2016-10-13_17:27:56.136 [车载] 车辆常用制动。
2016-10-13_17:27:56.136 [车载] 当前超速。
2016-10-13_17:27:56.232 [车载] 前方限速10公里每小时。
2016-10-13_17:27:56.232 [车载] 车辆常用制动。
