2016-10-14_09:13:12.333 [软件] DMI自检完毕，准备启动。
2016-10-14_09:13:12.333 [车载] 车辆紧急制动。
2016-10-14_09:13:12.431 [车载] 车辆常用制动。
2016-10-14_09:13:12.432 [车载] 车辆紧急制动。
2016-10-14_09:13:12.537 [车载] 车辆常用制动。
2016-10-14_09:13:12.537 [车载] 车辆紧急制动。
2016-10-14_09:13:12.628 [车载] 车辆常用制动。
2016-10-14_09:13:12.628 [车载] 车辆紧急制动。
2016-10-14_09:13:12.726 [车载] 车辆常用制动。
2016-10-14_09:13:12.726 [车载] 车辆紧急制动。
2016-10-14_09:13:12.828 [车载] 车辆常用制动。
2016-10-14_09:13:12.828 [车载] 车辆紧急制动。
2016-10-14_09:13:12.930 [车载] 车辆常用制动。
2016-10-14_09:13:12.930 [车载] 车辆紧急制动。
2016-10-14_09:13:13.024 [车载] 车辆常用制动。
2016-10-14_09:13:13.024 [车载] 车辆紧急制动。
2016-10-14_09:13:13.124 [车载] 车辆常用制动。
2016-10-14_09:13:13.124 [车载] 车辆紧急制动。
2016-10-14_09:13:13.224 [车载] 车辆常用制动。
2016-10-14_09:13:13.224 [车载] 车辆紧急制动。
2016-10-14_09:13:13.324 [车载] 车辆常用制动。
2016-10-14_09:13:13.324 [车载] 车辆紧急制动。
2016-10-14_09:13:13.439 [车载] 车辆常用制动。
2016-10-14_09:13:13.439 [车载] 车辆紧急制动。
2016-10-14_09:13:13.630 [车载] 车辆常用制动。
2016-10-14_09:13:13.630 [车载] 车辆紧急制动。
2016-10-14_09:13:13.728 [车载] 车辆常用制动。
2016-10-14_09:13:13.729 [车载] 车辆紧急制动。
2016-10-14_09:13:14.031 [车载] 车辆常用制动。
2016-10-14_09:13:14.031 [车载] 车辆紧急制动。
2016-10-14_09:13:14.154 [车载] 车辆常用制动。
2016-10-14_09:13:14.154 [车载] 车辆紧急制动。
2016-10-14_09:13:14.369 [车载] 车辆常用制动。
2016-10-14_09:13:14.369 [车载] 车辆紧急制动。
2016-10-14_09:13:15.750 [车载] 车辆常用制动。
2016-10-14_09:13:15.750 [车载] 车辆紧急制动。
2016-10-14_09:13:15.823 [车载] 车辆常用制动。
2016-10-14_09:13:15.823 [车载] 车辆紧急制动。
2016-10-14_09:13:15.926 [车载] 车辆常用制动。
2016-10-14_09:13:15.926 [车载] 车辆紧急制动。
2016-10-14_09:13:16.033 [车载] 车辆常用制动。
2016-10-14_09:13:16.033 [车载] 车辆紧急制动。
2016-10-14_09:13:16.127 [车载] 车辆常用制动。
2016-10-14_09:13:16.127 [车载] 车辆紧急制动。
2016-10-14_09:13:16.232 [车载] 车辆常用制动。
2016-10-14_09:13:16.232 [车载] 车辆紧急制动。
2016-10-14_09:13:16.327 [车载] 车辆常用制动。
2016-10-14_09:13:16.327 [车载] 车辆紧急制动。
2016-10-14_09:13:16.425 [车载] 车辆常用制动。
2016-10-14_09:13:16.425 [车载] 车辆紧急制动。
2016-10-14_09:13:16.656 [车载] 车辆常用制动。
2016-10-14_09:13:16.656 [车载] 车辆紧急制动。
2016-10-14_09:13:16.829 [车载] 车辆常用制动。
2016-10-14_09:13:16.829 [车载] 车辆紧急制动。
2016-10-14_09:13:17.216 [车载] 车辆常用制动。
2016-10-14_09:13:17.216 [车载] 车辆紧急制动。
2016-10-14_09:13:17.453 [车载] 车辆常用制动。
2016-10-14_09:13:17.453 [车载] 车辆紧急制动。
2016-10-14_09:13:17.642 [车载] 车辆常用制动。
2016-10-14_09:13:17.642 [车载] 车辆紧急制动。
2016-10-14_09:13:17.831 [车载] 车辆常用制动。
2016-10-14_09:13:17.831 [车载] 车辆紧急制动。
2016-10-14_09:13:18.121 [车载] 车辆常用制动。
2016-10-14_09:13:18.121 [车载] 车辆紧急制动。
2016-10-14_09:13:18.226 [车载] 车辆常用制动。
2016-10-14_09:13:18.226 [车载] 车辆紧急制动。
2016-10-14_09:13:18.328 [车载] 车辆常用制动。
2016-10-14_09:13:18.328 [车载] 车辆紧急制动。
2016-10-14_09:13:18.430 [车载] 车辆常用制动。
2016-10-14_09:13:18.430 [车载] 车辆紧急制动。
2016-10-14_09:13:18.526 [车载] 车辆常用制动。
2016-10-14_09:13:18.526 [车载] 车辆紧急制动。
2016-10-14_09:13:18.628 [车载] 车辆常用制动。
2016-10-14_09:13:18.628 [车载] 车辆紧急制动。
2016-10-14_09:13:18.800 [车载] 车辆常用制动。
2016-10-14_09:13:18.800 [车载] 车辆紧急制动。
2016-10-14_09:13:18.826 [车载] 车辆常用制动。
2016-10-14_09:13:18.826 [车载] 车辆紧急制动。
2016-10-14_09:13:19.129 [车载] 车辆常用制动。
2016-10-14_09:13:19.129 [车载] 车辆紧急制动。
2016-10-14_09:13:19.496 [车载] 车辆常用制动。
2016-10-14_09:13:19.497 [车载] 车辆紧急制动。
2016-10-14_09:13:19.527 [车载] 车辆常用制动。
2016-10-14_09:13:19.527 [车载] 车辆紧急制动。
2016-10-14_09:13:19.630 [车载] 车辆常用制动。
2016-10-14_09:13:19.630 [车载] 车辆紧急制动。
2016-10-14_09:13:19.725 [车载] 车辆常用制动。
2016-10-14_09:13:19.725 [车载] 车辆紧急制动。
2016-10-14_09:13:19.824 [车载] 车辆常用制动。
2016-10-14_09:13:19.824 [车载] 车辆紧急制动。
2016-10-14_09:13:19.924 [车载] 车辆常用制动。
2016-10-14_09:13:19.924 [车载] 车辆紧急制动。
2016-10-14_09:13:20.127 [车载] 车辆常用制动。
2016-10-14_09:13:20.127 [车载] 车辆紧急制动。
2016-10-14_09:13:20.226 [车载] 车辆常用制动。
2016-10-14_09:13:20.226 [车载] 车辆紧急制动。
2016-10-14_09:13:20.328 [车载] 车辆常用制动。
2016-10-14_09:13:20.328 [车载] 车辆紧急制动。
2016-10-14_09:13:20.430 [车载] 车辆常用制动。
2016-10-14_09:13:20.431 [车载] 车辆紧急制动。
2016-10-14_09:13:20.525 [车载] 车辆常用制动。
2016-10-14_09:13:20.525 [车载] 车辆紧急制动。
2016-10-14_09:13:20.628 [车载] 车辆常用制动。
2016-10-14_09:13:20.628 [车载] 车辆紧急制动。
2016-10-14_09:13:20.726 [车载] 车辆常用制动。
2016-10-14_09:13:20.726 [车载] 车辆紧急制动。
2016-10-14_09:13:20.824 [车载] 车辆常用制动。
2016-10-14_09:13:20.824 [车载] 车辆紧急制动。
2016-10-14_09:13:21.029 [车载] 车辆常用制动。
2016-10-14_09:13:21.029 [车载] 车辆紧急制动。
2016-10-14_09:13:21.125 [车载] 车辆常用制动。
2016-10-14_09:13:21.125 [车载] 车辆紧急制动。
2016-10-14_09:13:21.228 [车载] 车辆常用制动。
2016-10-14_09:13:21.228 [车载] 车辆紧急制动。
2016-10-14_09:13:21.325 [车载] 车辆常用制动。
2016-10-14_09:13:21.325 [车载] 车辆紧急制动。
2016-10-14_09:13:21.426 [车载] 车辆常用制动。
2016-10-14_09:13:21.426 [车载] 车辆紧急制动。
2016-10-14_09:13:21.527 [车载] 车辆常用制动。
2016-10-14_09:13:21.527 [车载] 车辆紧急制动。
2016-10-14_09:13:21.628 [车载] 车辆常用制动。
2016-10-14_09:13:21.629 [车载] 车辆紧急制动。
2016-10-14_09:13:21.724 [车载] 车辆常用制动。
2016-10-14_09:13:21.724 [车载] 车辆紧急制动。
2016-10-14_09:13:21.931 [车载] 车辆常用制动。
2016-10-14_09:13:21.931 [车载] 车辆紧急制动。
2016-10-14_09:13:22.026 [车载] 车辆常用制动。
2016-10-14_09:13:22.026 [车载] 车辆紧急制动。
2016-10-14_09:13:22.131 [车载] 车辆常用制动。
2016-10-14_09:13:22.131 [车载] 车辆紧急制动。
2016-10-14_09:13:22.225 [车载] 车辆常用制动。
2016-10-14_09:13:22.226 [车载] 车辆紧急制动。
2016-10-14_09:13:22.327 [车载] 车辆常用制动。
2016-10-14_09:13:22.327 [车载] 车辆紧急制动。
2016-10-14_09:13:22.427 [车载] 车辆常用制动。
2016-10-14_09:13:22.427 [车载] 车辆紧急制动。
2016-10-14_09:13:22.529 [车载] 车辆常用制动。
2016-10-14_09:13:22.533 [车载] 车辆紧急制动。
2016-10-14_09:13:22.626 [车载] 车辆常用制动。
2016-10-14_09:13:22.626 [车载] 车辆紧急制动。
2016-10-14_09:13:22.727 [车载] 车辆常用制动。
2016-10-14_09:13:22.727 [车载] 车辆紧急制动。
2016-10-14_09:13:22.828 [车载] 车辆常用制动。
2016-10-14_09:13:22.828 [车载] 车辆紧急制动。
2016-10-14_09:13:23.038 [车载] 车辆常用制动。
2016-10-14_09:13:23.038 [车载] 车辆紧急制动。
2016-10-14_09:13:23.187 [车载] 车辆常用制动。
2016-10-14_09:13:23.187 [车载] 车辆紧急制动。
2016-10-14_09:13:23.324 [车载] 车辆常用制动。
2016-10-14_09:13:23.324 [车载] 车辆紧急制动。
2016-10-14_09:13:23.523 [车载] 车辆常用制动。
2016-10-14_09:13:23.523 [车载] 车辆紧急制动。
2016-10-14_09:13:23.626 [车载] 车辆常用制动。
2016-10-14_09:13:23.627 [车载] 车辆紧急制动。
2016-10-14_09:13:23.727 [车载] 车辆常用制动。
2016-10-14_09:13:23.727 [车载] 车辆紧急制动。
2016-10-14_09:13:23.826 [车载] 车辆常用制动。
2016-10-14_09:13:23.826 [车载] 车辆紧急制动。
2016-10-14_09:13:23.924 [车载] 车辆常用制动。
2016-10-14_09:13:23.924 [车载] 车辆紧急制动。
2016-10-14_09:13:24.024 [车载] 车辆常用制动。
2016-10-14_09:13:24.024 [车载] 车辆紧急制动。
2016-10-14_09:13:24.125 [车载] 车辆常用制动。
2016-10-14_09:13:24.125 [车载] 车辆紧急制动。
2016-10-14_09:13:24.324 [车载] 车辆常用制动。
2016-10-14_09:13:24.324 [车载] 车辆紧急制动。
2016-10-14_09:13:24.424 [车载] 车辆常用制动。
2016-10-14_09:13:24.424 [车载] 车辆紧急制动。
2016-10-14_09:13:24.529 [车载] 车辆常用制动。
2016-10-14_09:13:24.529 [车载] 车辆紧急制动。
2016-10-14_09:13:24.725 [车载] 车辆常用制动。
2016-10-14_09:13:24.725 [车载] 车辆紧急制动。
2016-10-14_09:13:24.824 [车载] 车辆常用制动。
2016-10-14_09:13:24.824 [车载] 车辆紧急制动。
2016-10-14_09:13:25.053 [车载] 车辆常用制动。
2016-10-14_09:13:25.053 [车载] 车辆紧急制动。
2016-10-14_09:13:25.231 [车载] 车辆常用制动。
2016-10-14_09:13:25.231 [车载] 车辆紧急制动。
2016-10-14_09:13:25.326 [车载] 车辆常用制动。
2016-10-14_09:13:25.326 [车载] 车辆紧急制动。
2016-10-14_09:13:25.426 [车载] 车辆常用制动。
2016-10-14_09:13:25.426 [车载] 车辆紧急制动。
