2016-10-13_18:05:45.010 [软件] DMI自检完毕，准备启动。
2016-10-13_18:05:45.010 [车载] 当前超速。
2016-10-13_18:05:45.117 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.117 [车载] 当前超速。
2016-10-13_18:05:45.220 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.220 [车载] 当前超速。
2016-10-13_18:05:45.325 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.325 [车载] 当前超速。
2016-10-13_18:05:45.432 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.432 [车载] 当前超速。
2016-10-13_18:05:45.536 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.536 [车载] 当前超速。
2016-10-13_18:05:45.631 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.631 [车载] 当前超速。
2016-10-13_18:05:45.738 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.738 [车载] 当前超速。
2016-10-13_18:05:45.833 [车载] 前方限速11公里每小时。
2016-10-13_18:05:45.833 [车载] 当前超速。
2016-10-13_18:05:46.031 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.032 [车载] 当前超速。
2016-10-13_18:05:46.133 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.133 [车载] 当前超速。
2016-10-13_18:05:46.234 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.234 [车载] 当前超速。
2016-10-13_18:05:46.331 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.331 [车载] 当前超速。
2016-10-13_18:05:46.433 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.433 [车载] 当前超速。
2016-10-13_18:05:46.631 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.631 [车载] 当前超速。
2016-10-13_18:05:46.739 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.739 [车载] 当前超速。
2016-10-13_18:05:46.830 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.830 [车载] 当前超速。
2016-10-13_18:05:46.935 [车载] 前方限速11公里每小时。
2016-10-13_18:05:46.935 [车载] 当前超速。
2016-10-13_18:05:47.031 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.031 [车载] 当前超速。
2016-10-13_18:05:47.133 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.133 [车载] 当前超速。
2016-10-13_18:05:47.232 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.232 [车载] 当前超速。
2016-10-13_18:05:47.332 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.332 [车载] 当前超速。
2016-10-13_18:05:47.433 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.433 [车载] 当前超速。
2016-10-13_18:05:47.536 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.536 [车载] 当前超速。
2016-10-13_18:05:47.637 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.637 [车载] 当前超速。
2016-10-13_18:05:47.738 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.738 [车载] 当前超速。
2016-10-13_18:05:47.837 [车载] 前方限速11公里每小时。
2016-10-13_18:05:47.837 [车载] 当前超速。
2016-10-13_18:05:48.034 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.034 [车载] 当前超速。
2016-10-13_18:05:48.133 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.133 [车载] 当前超速。
2016-10-13_18:05:48.235 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.235 [车载] 当前超速。
2016-10-13_18:05:48.332 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.332 [车载] 当前超速。
2016-10-13_18:05:48.531 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.531 [车载] 当前超速。
2016-10-13_18:05:48.635 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.635 [车载] 当前超速。
2016-10-13_18:05:48.742 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.742 [车载] 当前超速。
2016-10-13_18:05:48.832 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.832 [车载] 当前超速。
2016-10-13_18:05:48.931 [车载] 前方限速11公里每小时。
2016-10-13_18:05:48.931 [车载] 当前超速。
2016-10-13_18:05:49.135 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.135 [车载] 当前超速。
2016-10-13_18:05:49.232 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.236 [车载] 当前超速。
2016-10-13_18:05:49.331 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.332 [车载] 当前超速。
2016-10-13_18:05:49.534 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.534 [车载] 当前超速。
2016-10-13_18:05:49.631 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.631 [车载] 当前超速。
2016-10-13_18:05:49.745 [车载] 前方限速11公里每小时。
2016-10-13_18:05:49.745 [车载] 当前超速。
